Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020,regular,2021/2/22,21:00,Allianz Parque,0,Palmeiras,Atletico GO,Caio Max Augusto Vieira,1,1,1,1,6.56,6.56,19,9,0,0,4,3,11,5,4,1,63.8,36.2,715,494,87,76,543,307,473,232,15,8,13,11,17,17,11,13,76,65,14,12,54,46,15,11,11,15,11,9,22,22,11,13,50,41,6,29,6,11,9,6,56,67,5,5,0,0,20,13,0,1,goal(22);yellow-card(28);yellow-card(75),yellow-card(19);goal(43)
2020,regular,2021/2/22,23:00,Estádio Nilton Santos,0,Botafogo RJ,Sao Paulo,Braulio da Silva Machado,0,0,1,0,7.05,6.33,19,7,0,0,8,1,3,5,8,1,47.6,52.4,595,612,86,84,428,457,368,382,11,6,4,6,6,9,6,4,67,67,21,18,54,46,17,22,22,17,7,2,13,6,6,4,54,33,25,15,15,11,4,3,50,0,0,4,0,0,12,15,2,0,yellow-card(38);yellow-card(49);goal(58);penalty_saved(84);yellow-card(85),red-card(29);yellow-card(65);yellow-card(71);yellow-card(83);penalty-missed(84);yellow-card(87);yellow-card(88);yellow-card(89)
2020,regular,2021/2/26,00:30,São Januario,0,Vasco da Gama,Goias,Leandro Vuaden,1,2,3,2,7.03,6.57,27,20,0,1,12,5,6,7,9,8,48.9,51.1,609,617,85,85,390,405,332,344,17,12,13,10,19,18,10,13,68,56,11,7,61,39,9,9,9,9,17,12,27,25,10,13,63,48,21,11,9,8,9,6,44,17,6,9,0,0,12,18,2,2,goal(15);yellow-card(17);goal(50);goal(92),shot-on-post(25);goal(25);goal(52);yellow-card(58);yellow-card(74)
2020,regular,2021/2/26,00:30,Estadio do Maracanã,0,Fluminense,Fortaleza,Anderson Daronco,1,0,2,0,6.98,6.17,9,9,1,0,3,2,2,7,4,0,48.7,51.3,566,570,86,85,401,422,345,360,8,5,4,8,6,21,8,4,67,38,18,16,53,47,13,21,21,13,21,9,29,13,8,4,72,69,23,7,11,9,3,5,67,80,7,8,1,0,10,12,0,1,shot-on-post(18);goal(21);goal(61),
2020,regular,2021/2/26,00:30,Estádio Antonio Accioly,0,Atletico GO,Coritiba,Edina Alves Batista,3,0,3,1,6.86,6.26,18,9,0,0,7,1,8,8,3,0,55.7,44.3,732,597,88,82,556,435,488,358,14,5,12,5,16,11,5,12,75,45,13,7,65,35,10,10,10,10,13,15,18,27,5,12,72,56,14,15,9,14,7,4,43,50,11,7,0,1,8,9,1,1,goal(3);goal(34);own-goal(47),error-to-goal(34);goal(63);clearance-off-the-line(73);yellow-card(80)
2020,regular,2021/2/26,00:30,Arena da Baixada,0,Athletico Paranaense,Sport Recife,Flavio Rodrigues de Souza,1,0,2,0,7.01,6.45,18,15,0,0,8,4,8,6,2,5,56,44,659,562,84,80,480,362,403,291,15,12,12,10,13,19,10,12,92,53,7,17,29,71,13,11,11,13,17,8,27,20,10,12,63,40,18,21,9,21,8,5,13,20,7,8,0,0,15,10,2,2,goal(8);goal(86),yellow-card(26);yellow-card(47)
2020,regular,2021/2/26,00:30,Estádio Nabi Abi Chedid,0,Red Bull Bragantino,Gremio,Ramon Abatti Abel,0,0,1,0,6.92,6.62,19,15,1,0,6,2,7,12,6,1,55.8,44.2,638,563,83,79,471,370,389,294,14,13,6,11,12,20,11,6,50,55,18,16,53,47,20,14,14,20,13,11,24,17,11,6,54,65,16,16,14,12,3,7,67,71,5,4,0,0,24,12,1,0,yellow-card(35);shot-on-post(38);yellow-card(44);goal(53);yellow-card(82);yellow-card(94),
2020,regular,2021/2/26,00:30,Estadio Beira-Rio,0,Internacional,Corinthians,Wilton Pereira Sampaio,0,0,0,0,6.80,6.80,16,6,1,0,5,1,6,2,5,3,52.7,47.3,680,592,80,74,418,393,335,290,13,5,10,4,23,10,4,10,43,40,24,35,41,59,32,27,27,32,21,22,25,32,4,10,84,69,13,43,17,9,12,5,25,40,9,15,0,0,13,16,6,1,shot-on-post(50),yellow-card(22);yellow-card(68)
2020,regular,2021/2/26,00:30,Arena Fonte Nova,0,Bahia,Santos FC,Paulo Roberto Alves Junior,1,0,2,0,6.92,6.55,16,15,0,0,5,5,8,6,3,4,48.8,51.2,628,677,86,89,447,475,383,421,13,12,4,22,9,33,22,4,44,67,13,9,59,41,8,14,14,8,17,16,39,20,22,4,44,80,12,15,16,12,4,4,25,50,11,6,0,0,11,13,2,1,goal(15);goal(91),
2020,regular,2021/2/26,00:30,Estadio Mineirão,0,Atletico MG,Palmeiras,Heber Roberto Lopes,0,0,2,0,7.02,6.43,19,9,0,0,8,4,7,4,4,1,51.6,48.4,641,586,90,80,451,424,404,340,14,7,12,10,19,15,10,12,63,67,12,10,55,45,6,16,16,6,9,14,19,26,10,12,47,54,16,13,11,12,5,4,40,25,7,4,0,0,22,17,5,1,yellow-card(5);yellow-card(33);goal(79);yellow-card(84);goal(89),
