venues,capacity
Allianz Arena,75024
Signal Iduna Park,80708
Borussia-Park,54057
WIRSOL Rhein-Neckar-Arena,30150
HDI-Arena,49200
Commerzbank Arena,51500
Imtech Arena,57000
RheinEnergieStadion,50000
Benteler-Arena,15000
VELTINS-Arena,62271
BayArena,30210
Volkswagen Arena,30000
Coface Arena,34000
SGL Arena,30660
Olympiastadion,74475
Weserstadion,42100
Schwarzwald-Stadion,24000
Mercedes-Benz Arena,71000
PreZero Arena,30150
Commerzbank-Arena,51500
Stadion an der Schwarzwaldstraße,24000
SIGNAL IDUNA PARK,80708
Rhein-Neckar-Arena,30150
AWD-Arena,49200
Stadion am Bruchweg,18700
Badenova-Stadion,24000
Fritz-Walter-Stadion,49850
Veltins-Arena,62271
EasyCredit-Stadion,50000
Millerntor-Stadion,29546
BORUSSIA-PARK,54057
RheinEnergieSTADION,50000
Volksparkstadion,57000
Audi Sportpark,15800
Waldstadion,51500
OPEL ARENA,34000
WWK ARENA,30660
Weser-Stadion,42100
Jonathan-Heimes-Stadion am Böllenfalltor,17000
Red Bull Arena,25000
Merck-Stadion am Böllenfalltor,17000
wohninvest WESERSTADION,42100
Deutsche Bank Park,51500
An der Alten Försterei,22012
SchücoArena,26515
MAGE SOLAR Stadion,24000
Grundig Stadion,50000
ESPRIT arena,54600
Trolli ARENA,15606
Stadion Nürnberg,50000
HDI Arena,49200
Merkur Spielarena,54600
Max-Morlock-Stadion,50000
easyCredit-Stadion,50000
rewirpowerSTADION,27599
badenova-Stadion,24000
Eintracht-Stadion,23325
Europa-Park Stadion,34700
Sportpark Ronhof | Thomas Sommer,15606
Vonovia Ruhrstadion,27599
MEWA ARENA,34000
Dreisamstadion,24000
