Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2009/2010,Champions League Final Stages,2010/5/22,19:45,Santiago Bernab�u,0,Bayern,Inter,Howard Webb,0,1,0,2,6.68,7.19,21,12,0,0,3,7,8,3,10,2,0,0,759,425,89,72,587,266,520,192,16,7,13,8,22,21,8,12,59,38,4,9,31,69,0,0,0,0,26,17,34,29,8,12,76,59,18,22,11,17,5,2,60,50,8,13,0,0,16,13,0,0,yellow-card(25);yellow-card(78),yellow-card(29);goal(34);goal(70)
2009/2010,Champions League Final Stages,2010/4/27,19:45,Stade de Gerland,0,Lyon,Bayern,Massimo Busacca,0,1,0,3,6.48,7.67,9,14,0,0,1,5,7,5,1,4,0,0,560,713,75,79,370,523,279,415,5,13,9,12,17,17,12,9,53,71,10,9,53,47,0,0,0,0,22,27,34,36,12,9,65,75,17,32,39,28,2,6,50,83,19,17,1,0,16,7,2,4,yellow-card(23);second-yellow(59),yellow-card(24);goal(26);goal(66);goal(77)
2009/2010,Champions League Final Stages,2010/4/28,19:45,Camp Nou,0,Barcelona,Inter,Frank De Bleeckere,0,0,1,0,7.23,6.32,20,1,0,0,4,0,11,1,5,0,0,0,917,290,94,54,738,137,691,74,17,0,17,4,28,13,4,17,61,31,5,4,56,44,0,0,0,0,16,18,20,35,4,17,80,51,6,44,10,17,9,2,44,0,7,7,0,0,20,15,4,5,yellow-card(27);goal(84),yellow-card(10);red-card(28);yellow-card(35);yellow-card(43);yellow-card(82);yellow-card(83)
2009/2010,Champions League Final Stages,2010/4/20,19:45,Giuseppe Meazza,0,Inter,Barcelona,Olegário Manuel Bartolo Faustino Benquerença,1,1,3,1,6.80,6.59,9,10,0,0,4,6,4,1,1,3,0,0,407,802,67,89,262,640,175,572,6,7,6,9,11,16,9,6,55,56,1,5,17,83,0,0,0,0,19,14,28,20,9,6,68,70,25,17,15,18,2,4,0,50,9,12,0,0,19,21,9,2,yellow-card(12);goal(30);goal(48);goal(61);yellow-card(82),goal(19);yellow-card(46);yellow-card(51);yellow-card(60);yellow-card(68);yellow-card(84)
2009/2010,Champions League Final Stages,2010/4/21,19:45,Allianz Arena,0,Bayern,Lyon,Roberto Rosetti,0,0,1,0,6.99,6.47,19,8,0,0,4,1,12,3,3,4,0,0,769,475,86,73,580,290,496,212,17,3,14,0,28,6,0,14,50,0,14,8,64,36,0,0,0,0,28,37,28,51,0,14,100,73,15,33,16,23,9,3,44,33,23,22,0,0,11,14,4,4,yellow-card(27);red-card(37);goal(69),second-yellow(54);yellow-card(79)
2009/2010,Champions League Final Stages,2010/4/06,17:30,Luzhniki Stadium,0,CSKA Moscow,Inter,Stéphane Lannoy,0,1,0,1,6.51,7.01,14,17,0,0,2,7,10,6,2,4,0,0,646,663,82,83,497,515,407,429,8,11,7,8,16,12,8,7,44,67,5,3,63,38,0,0,0,0,15,19,23,26,8,7,65,73,4,19,16,25,3,2,33,50,10,11,0,0,14,13,0,4,second-yellow(49);yellow-card(63),goal(6);yellow-card(16)
2009/2010,Champions League Final Stages,2010/4/06,19:45,Camp Nou,0,Barcelona,Arsenal,Wolfgang Stark,3,1,4,1,7.15,6.54,14,7,0,0,8,2,6,5,0,0,0,0,840,510,88,76,693,330,607,252,9,5,11,11,22,18,11,11,50,61,6,7,46,54,0,0,0,0,23,28,34,39,11,11,68,72,8,17,26,30,3,2,67,100,17,16,1,1,16,19,1,3,error-to-goal(18);goal(21);goal(37);goal(42);goal(88),goal(18);error-to-goal(21);yellow-card(31);yellow-card(44);yellow-card(67)
2009/2010,Champions League Final Stages,2010/4/07,19:45,Stade Jacques Chaban-Delmas,0,Bordeaux,Lyon,Alberto Undiano Mallenco,1,0,1,0,7.16,6.50,10,12,1,0,2,0,6,10,2,2,0,0,659,455,76,60,464,240,354,145,9,5,7,7,14,23,8,6,50,30,15,7,68,32,0,0,0,0,44,24,52,30,8,6,85,80,26,27,17,29,1,7,100,14,16,29,0,0,9,18,1,2,shot-on-post(44);goal(45),yellow-card(34);yellow-card(67);yellow-card(69);yellow-card(78);yellow-card(89)
2009/2010,Champions League Final Stages,2010/4/07,19:45,Old Trafford,0,Man Utd,Bayern,Nicola Rizzoli,3,1,3,2,7.24,6.40,18,13,0,1,6,7,10,3,2,3,0,0,540,702,71,82,340,529,243,432,13,10,9,6,13,16,6,9,69,38,10,10,50,50,0,0,0,0,40,23,46,32,6,9,87,72,23,17,23,14,7,9,71,67,19,30,0,1,16,9,0,2,goal(3);goal(7);goal(41);second-yellow(50),yellow-card(28);goal(43);yellow-card(54);shot-on-post(68);goal(74)
2009/2010,Champions League Final Stages,2010/3/30,19:45,Stade de Gerland,0,Lyon,Bordeaux,Dr. Felix Brych,2,1,3,1,6.93,6.50,12,12,0,1,7,5,3,5,2,2,0,0,437,574,62,73,255,427,158,313,8,11,5,7,14,10,7,5,36,70,17,20,46,54,0,0,0,0,11,18,18,23,7,5,61,78,36,22,22,18,6,4,17,25,9,8,0,2,19,15,6,3,goal(10);goal(32);yellow-card(74);penalty_scored(77);yellow-card(80),error-to-goal(10);goal(14);error-to-goal(32);shot-on-post(70);clearance-off-the-line(90)
