Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2009/2010,Champions League Group Stages,2009/12/08,19:45,Olimpico Grande Torino,0,Juventus,Bayern,Massimo Busacca,1,1,1,4,6.51,7.38,6,22,0,1,1,7,3,6,2,9,0,0,469,664,70,83,297,485,209,403,3,17,7,11,16,20,11,7,44,55,9,8,53,47,0,0,0,0,21,23,32,30,11,7,66,77,28,13,21,21,2,10,0,20,15,12,0,0,16,13,2,3,goal(19),yellow-card(7);shot-on-post(12);penalty_scored(30);goal(52);yellow-card(58);yellow-card(71);goal(83);goal(92)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Kiryat Eliezer,0,Maccabi Haifa,Bordeaux,Jonas Eriksson,0,1,0,1,6.63,7.45,13,19,0,0,5,5,6,8,2,6,0,0,624,564,82,77,444,355,366,274,9,16,1,11,22,26,11,1,5,42,6,6,50,50,0,0,0,0,28,33,39,34,11,1,72,97,29,26,11,22,4,10,50,40,12,13,1,0,11,5,4,1,error-to-goal(12);clearance-off-the-line(15);yellow-card(39),goal(12)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Volkswagen Arena,0,Wolfsburg,Man Utd,Björn Kuipers,0,1,1,3,6.57,7.46,19,10,0,0,9,4,8,4,2,2,0,0,649,709,88,86,496,564,434,485,18,9,1,8,14,11,8,1,7,73,3,1,75,25,0,0,0,0,14,16,22,17,8,1,64,94,14,25,17,18,10,1,70,0,3,11,1,0,10,8,4,6,goal(56),goal(44);goal(83);goal(91)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Besiktas In�n�,0,Besiktas,CSKA Moscow,Martin Hansson,0,1,1,2,6.77,7.32,21,12,0,0,6,4,10,6,5,2,0,0,617,555,76,71,428,355,326,252,12,7,5,7,15,13,7,5,33,54,12,7,63,37,0,0,0,0,20,16,27,21,7,5,74,76,23,37,24,41,9,3,33,33,6,14,0,0,13,13,7,1,yellow-card(66);yellow-card(85);goal(86);yellow-card(94),yellow-card(27);yellow-card(37);goal(41);yellow-card(42);goal(95)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Letzigrund Stadion,0,FC Zuerich,AC Milan,Pedro Proença Oliveira Alves Garcia,1,0,1,1,6.54,6.71,10,13,0,0,3,3,5,9,2,1,0,0,546,693,81,86,379,546,307,468,7,10,9,7,15,17,7,9,60,41,7,4,64,36,0,0,0,0,28,16,35,25,7,9,80,64,42,10,13,15,2,4,50,75,10,18,0,0,20,10,1,7,goal(29);yellow-card(43);red-card(63),penalty_scored(64);yellow-card(77);yellow-card(86)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Stade Vélodrome,0,Marseille,Real Madrid,,1,1,1,3,6.65,7.19,6,17,1,1,2,7,2,7,2,3,0,0,592,643,72,74,385,429,277,319,4,9,11,12,31,20,12,11,35,60,8,13,38,62,0,0,0,0,31,33,43,44,12,11,72,75,20,24,32,30,5,7,80,57,13,23,1,1,15,23,5,5,yellow-card(9);goal(11);yellow-card(63);penalty-missed(69);error-to-goal(80),goal(5);clearance-off-the-line(11);error-to-goal(11);shot-on-post(28);yellow-card(29);yellow-card(38);goal(60);yellow-card(66);goal(80)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Stamford Bridge,0,Chelsea,APOEL Nicosia,Matteo Trefoloni,2,1,2,2,7.08,6.89,27,6,0,0,5,4,14,1,8,1,0,0,829,552,87,72,620,381,539,273,21,5,11,3,18,8,3,11,61,38,11,4,73,27,0,0,0,0,21,21,24,32,3,11,88,66,26,22,25,33,8,3,63,0,14,16,1,0,13,7,4,3,yellow-card(18);goal(19);goal(26);error-to-goal(87),goal(6);yellow-card(85);goal(87)
2009/2010,Champions League Group Stages,2009/12/08,19:45,Vicente Calder�n,0,Atletico,Porto,Stéphane Lannoy,0,2,0,3,6.45,7.86,22,15,0,0,6,7,9,7,7,1,0,0,611,597,85,81,416,384,352,310,18,13,9,12,25,23,12,9,36,52,3,7,30,70,0,0,0,0,29,26,41,35,12,9,71,74,24,33,17,32,11,4,45,50,10,19,0,0,18,14,1,0,yellow-card(43);yellow-card(44);yellow-card(88),goal(2);goal(14);yellow-card(72);goal(76)
2009/2010,Champions League Group Stages,2009/12/09,19:45,Mercedes-Benz Arena,0,Stuttgart,Unirea Urziceni,Viktor Kassai,3,0,3,1,7.04,6.36,17,12,1,0,6,4,9,7,2,1,0,0,634,504,78,67,450,334,350,225,14,10,6,3,14,5,3,6,43,60,12,5,71,29,0,0,0,0,17,22,20,28,3,6,85,79,35,37,19,17,6,3,17,67,14,15,1,2,24,14,0,2,goal(5);goal(8);goal(11);error-to-goal(46);shot-on-post(72),yellow-card(44);goal(46);yellow-card(68);yellow-card(75)
2009/2010,Champions League Group Stages,2009/12/09,19:45,Ram�n S�nchez Pizju�n,0,Sevilla,Rangers,Bertrand Layec,1,0,1,0,7.19,6.61,26,3,1,0,7,1,11,2,8,0,0,0,741,492,88,73,556,331,487,241,18,2,8,3,19,11,3,8,42,27,13,6,68,32,0,0,0,0,23,19,26,27,3,8,88,70,23,32,16,14,13,4,46,0,8,15,0,0,6,14,1,2,penalty_scored(8);shot-on-post(81),clearance-off-the-line(3);clearance-off-the-line(11);yellow-card(35);yellow-card(74);yellow-card(84)
