Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2010/2011,Champions League Group Stages,2010/12/07,19:45,Arke Stadion,0,Twente,Tottenham,Carlos Velasco Carballo,1,1,3,3,6.57,6.79,16,6,0,0,7,4,4,2,5,0,0,0,675,585,84,77,530,426,446,329,10,4,6,6,15,12,6,6,40,50,8,7,53,47,0,0,0,0,13,23,19,29,6,6,68,79,14,27,14,15,6,3,33,33,14,7,3,0,11,16,1,1,error-to-goal(12);penalty_scored(22);error-to-goal(47);goal(55);error-to-goal(59);goal(64),own-goal(12);yellow-card(32);goal(47);goal(59)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Weserstadion,0,Werder Bremen,Inter,Cüneyt Çakir,1,0,3,0,7.54,6.30,22,7,1,1,7,1,8,5,7,1,0,0,781,577,88,80,607,430,534,342,18,6,7,7,19,17,7,7,37,41,6,1,86,14,0,0,0,0,20,16,27,23,7,7,74,70,7,30,28,9,11,1,36,100,4,10,0,0,14,9,2,3,goal(38);goal(49);yellow-card(68);shot-on-post(80);goal(88),shot-on-post(91)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Stade de Gerland,0,Lyon,H. Tel Aviv,Svein Oddvar Moen,0,0,2,2,6.98,7.27,31,12,0,0,11,8,13,4,7,0,0,0,792,452,83,65,589,244,491,158,24,10,8,7,18,9,7,8,44,78,5,8,38,62,0,0,0,0,22,25,29,33,7,8,76,76,9,52,19,31,14,3,43,67,16,20,0,1,7,11,5,4,goal(62);goal(88),yellow-card(8);clearance-off-the-line(34);error-to-goal(62);goal(63);goal(69);yellow-card(91)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Estadio da Luz,0,Benfica,Schalke,Howard Webb,0,1,1,2,6.63,6.90,22,6,1,0,3,4,13,2,6,0,0,0,658,502,84,73,487,349,409,254,17,6,5,3,15,11,3,5,33,27,7,5,58,42,0,0,0,0,12,24,15,29,3,5,80,83,24,27,16,31,8,2,63,50,14,4,0,0,14,19,5,4,yellow-card(68);yellow-card(71);yellow-card(77);goal(87);shot-on-post(92),goal(19);yellow-card(64);yellow-card(78);goal(81)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Old Trafford,0,Man Utd,Valencia,Pedro Proença Oliveira Alves Garcia,0,1,1,1,6.80,6.97,19,11,1,1,9,5,7,6,3,0,0,0,653,744,77,80,449,565,346,450,13,8,10,8,19,13,8,10,53,62,12,14,46,54,0,0,0,0,22,25,30,35,8,10,73,71,18,20,36,26,6,3,17,100,17,17,2,0,11,13,5,0,error-to-goal(32);shot-on-post(36);yellow-card(44);goal(62),shot-on-post(17);goal(32);yellow-card(60);yellow-card(78)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Bursa Atatürk Stadi,0,Bursaspor,Rangers,Tony Chapron,0,1,1,1,6.94,6.60,17,4,0,0,2,1,7,3,8,0,0,0,810,487,89,73,638,329,567,241,14,4,13,9,26,17,9,13,50,53,7,6,54,46,0,0,0,0,14,18,23,31,9,13,61,58,18,34,21,15,2,2,50,0,5,6,0,0,12,13,1,2,yellow-card(65);goal(79);yellow-card(81),goal(19);yellow-card(67)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Camp Nou,0,Barcelona,Rubin Kazan,Jonas Eriksson,0,0,2,0,7.60,6.47,16,4,0,0,3,1,9,2,4,1,0,0,1136,416,90,65,977,270,881,175,14,3,29,4,36,16,4,29,81,25,8,6,57,43,0,0,0,0,18,27,22,56,4,29,82,48,4,19,13,35,7,0,100,0,20,6,1,0,3,12,1,2,goal(51);goal(82),yellow-card(24)
2010/2011,Champions League Group Stages,2010/12/07,19:45,Parken Stadion,0,Copenhagen,Panathinaikos,Florian Meyer,1,0,3,1,6.81,6.10,11,8,1,0,3,3,8,2,0,3,0,0,651,528,85,85,528,390,448,330,8,4,7,5,10,8,5,7,70,63,4,4,50,50,0,0,0,0,16,12,21,19,5,7,76,63,18,20,16,14,4,1,50,100,9,13,0,2,19,20,3,8,goal(26);penalty_scored(50);yellow-card(52);shot-on-post(57);own-goal(73),yellow-card(12);yellow-card(44);yellow-card(47);yellow-card(67);goal(92)
2010/2011,Champions League Group Stages,2010/12/08,19:45,Allianz Arena,0,Bayern,FC Basel 1893,Martin Hansson,2,0,3,0,7.95,6.35,25,10,0,0,11,4,10,5,4,1,0,0,731,532,88,83,534,367,471,303,19,8,9,5,17,16,5,9,53,31,3,2,60,40,0,0,0,0,21,18,26,27,5,9,81,67,31,23,18,12,11,8,73,13,10,10,1,1,10,8,2,6,goal(35);goal(37);goal(49);yellow-card(83),error-to-goal(35);yellow-card(73)
2010/2011,Champions League Group Stages,2010/12/08,19:45,Stadionul Dr. Constantin Radulescu,0,Cluj,Roma,William Collum,0,1,1,1,6.74,7.05,14,19,0,0,6,6,6,9,2,4,0,0,540,786,78,85,367,616,288,522,11,16,6,3,11,6,3,6,55,50,4,9,31,69,0,0,0,0,14,15,17,21,3,6,82,71,22,30,15,26,5,3,40,100,10,11,0,0,16,10,7,1,yellow-card(19);goal(88);yellow-card(89),goal(21)
