Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2011/2012,Champions League Final Stage,2012/5/19,19:45,Allianz Arena,0,Bayern,Chelsea,Pedro Proença Oliveira Alves Garcia,0,0,1,1,7.22,7.32,43,9,0,0,7,3,14,3,22,3,56.2,43.8,900,774,86,82,629,511,544,418,37,3,9,15,21,28,15,9,43,54,7,13,35,65,0,0,0,0,28,24,43,33,15,9,65,73,15,42,21,18,20,1,30,100,12,15,0,0,14,26,1,2,yellow-card(2);goal(83);penalty-missed(95),yellow-card(81);yellow-card(86);goal(88);yellow-card(93);penalty_saved(95);yellow-card(120)
2011/2012,Champions League Final Stage,2012/4/24,19:45,Camp Nou,0,Barcelona,Chelsea,Cüneyt Çakir,2,1,2,2,6.81,6.95,23,7,1,0,6,3,10,4,7,0,0,0,897,361,90,64,750,163,676,105,18,5,6,6,23,13,6,6,26,46,3,3,50,50,0,0,0,0,18,24,24,30,6,6,75,80,10,59,7,24,10,1,70,100,7,11,0,0,8,10,1,1,goal(35);goal(43);penalty-missed(49);yellow-card(50);yellow-card(71),yellow-card(32);red-card(37);yellow-card(44);goal(46);yellow-card(49);yellow-card(59);yellow-card(72);yellow-card(89);goal(91)
2011/2012,Champions League Final Stage,2012/4/25,19:45,Santiago Bernabéu,0,Real Madrid,Bayern,Viktor Kassai,2,1,2,1,6.83,7.42,15,20,0,0,6,6,7,9,2,5,0,0,766,909,83,88,548,666,457,583,10,18,19,12,36,28,12,19,53,43,9,11,45,55,0,0,0,0,29,38,41,57,12,19,71,67,20,21,15,18,5,5,40,40,21,14,0,0,12,27,4,1,penalty_scored(6);goal(14);yellow-card(27);yellow-card(59);yellow-card(115),yellow-card(5);penalty_scored(27);yellow-card(90);yellow-card(102);yellow-card(105)
2011/2012,Champions League Final Stage,2012/4/17,19:45,Allianz Arena,0,Bayern,Real Madrid,Howard Webb,1,0,2,1,7.15,6.54,15,15,0,0,4,6,6,3,5,6,0,0,635,561,81,78,454,381,368,297,10,12,11,11,17,21,11,11,65,52,6,10,38,63,0,0,0,0,26,25,37,36,11,11,70,69,9,24,11,15,6,4,17,25,19,16,0,1,20,14,0,1,goal(17);yellow-card(31);yellow-card(37);yellow-card(64);goal(90),goal(53);yellow-card(56);yellow-card(56);yellow-card(60);yellow-card(76);yellow-card(92);yellow-card(94)
2011/2012,Champions League Final Stage,2012/4/18,19:45,Stamford Bridge,0,Chelsea,Barcelona,Dr. Felix Brych,1,0,1,0,7.11,6.47,4,24,0,1,1,6,2,8,1,10,0,0,365,958,74,93,217,820,161,761,1,13,5,10,10,18,10,5,50,56,5,4,56,44,0,0,0,0,26,12,36,17,10,5,72,71,21,12,16,9,1,8,0,25,7,18,0,0,12,9,5,2,clearance-off-the-line(43);goal(47);yellow-card(69);yellow-card(86),shot-on-post(9);yellow-card(71);yellow-card(76)
2011/2012,Champions League Final Stage,2012/4/03,19:45,Camp Nou,0,Barcelona,AC Milan,Björn Kuipers,2,1,3,1,7.22,6.22,21,3,0,0,8,1,10,1,3,1,0,0,793,535,87,73,631,394,552,289,15,2,9,6,17,11,6,9,53,55,4,6,40,60,0,0,0,0,19,16,25,25,6,9,76,64,21,12,22,24,2,4,0,100,8,14,0,1,9,19,2,4,penalty_scored(11);penalty_scored(41);goal(53);yellow-card(66);yellow-card(86),error-to-goal(10);yellow-card(10);goal(32);yellow-card(40);yellow-card(40);yellow-card(77);yellow-card(91);yellow-card(92);yellow-card(94)
2011/2012,Champions League Final Stage,2012/4/03,19:45,Allianz Arena,0,Bayern,Marseille,Svein Oddvar Moen,2,0,2,0,7.27,6.52,17,9,1,0,7,3,7,5,3,1,0,0,667,668,85,85,488,494,414,418,14,9,8,7,15,19,7,8,53,37,10,12,45,55,0,0,0,0,22,18,29,26,7,8,76,69,16,25,29,16,9,2,44,0,11,10,0,1,8,10,1,3,goal(13);shot-on-post(33);goal(37);yellow-card(64),yellow-card(37)
2011/2012,Champions League Final Stage,2012/4/04,19:45,Santiago Bernabéu,0,Real Madrid,APOEL Nicosia,Gianluca Rocchi,2,0,5,2,7.24,6.07,21,9,1,0,8,3,11,4,2,2,0,0,851,469,90,72,709,304,641,219,18,7,8,4,20,11,4,8,40,36,2,2,50,50,0,0,0,0,18,23,22,31,4,8,82,74,11,20,9,22,6,3,17,0,11,11,0,3,10,11,2,0,goal(26);goal(36);shot-on-post(41);goal(75);goal(80);goal(84),goal(67);yellow-card(75);penalty_scored(82);error-to-goal(84)
2011/2012,Champions League Final Stage,2012/4/04,19:45,Stamford Bridge,0,Chelsea,Benfica,Damir Skomina,1,0,2,1,7.06,6.63,17,22,0,0,4,9,9,9,4,4,0,0,611,589,84,83,425,428,358,356,14,19,10,2,16,10,2,10,63,20,7,4,64,36,0,0,0,0,16,20,18,30,2,10,89,67,41,24,17,17,4,5,75,40,14,8,0,0,16,11,5,1,penalty_scored(21);clearance-off-the-line(30);yellow-card(38);yellow-card(44);yellow-card(79);goal(92),yellow-card(19);yellow-card(21);yellow-card(27);second-yellow(40);goal(85)
2011/2012,Champions League Final Stage,2012/3/27,19:45,Neo GSP Stadium,0,APOEL Nicosia,Real Madrid,Dr. Felix Brych,0,0,0,3,6.30,7.42,0,28,0,0,0,8,0,15,0,5,0,0,374,884,59,89,215,724,126,642,0,22,9,12,17,18,12,9,53,67,2,7,22,78,0,0,0,0,18,13,30,22,12,9,60,59,34,4,25,12,1,4,100,0,5,12,0,0,13,11,3,2,,goal(74);goal(82);goal(90)
2011/2012,Champions League Final Stage,2012/3/27,19:45,Estadio da Luz,0,Benfica,Chelsea,Paolo Tagliavento,0,0,0,1,6.57,7.34,25,12,0,1,8,3,9,8,8,1,0,0,615,550,80,77,427,338,341,259,17,11,11,8,24,11,8,11,46,73,8,9,47,53,0,0,0,0,12,30,20,41,8,11,60,73,25,42,13,18,8,4,25,25,17,9,0,0,9,17,0,4,yellow-card(26);yellow-card(67);yellow-card(75),yellow-card(18);clearance-off-the-line(47);shot-on-post(60);goal(75)
