Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Parc des Princes,44408,PSG,Shakhtar,Anthony Taylor,0,0,2,0,7.28,6.28,18,13,0,0,6,3,9,7,3,3,56.3,43.7,810,655,88,86,656,503,579,435,16,11,10,4,17,8,4,10,59,50,11,3,79,21,8,6,6,8,16,16,20,26,4,10,80,62,10,15,16,20,7,5,71,60,9,12,1,2,9,9,4,3,yellow-card(39);goal(57);clearance-off-the-line(79);goal(86),yellow-card(61);yellow-card(81);yellow-card(84)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Santiago Bernabéu,60663,Real Madrid,Malmoe FF,Daniele Orsato,3,0,8,0,8.33,5.55,32,5,1,0,16,2,10,2,6,1,59.6,40.4,831,612,93,86,648,439,603,379,25,4,19,3,28,12,3,19,68,25,8,4,67,33,6,6,6,6,27,20,30,39,3,19,90,51,11,22,15,11,5,3,60,33,11,18,0,1,5,6,3,0,goal(12);goal(24);goal(39);goal(47);goal(50);goal(59);goal(70);goal(74);shot-on-post(89),clearance-off-the-line(12);error-to-goal(73)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Volkswagen Arena,26400,Wolfsburg,Man Utd,Milorad Mazic,2,1,3,2,7.01,6.61,10,18,0,0,6,6,3,5,1,7,45.3,54.7,550,613,78,79,379,456,295,362,10,10,3,9,11,19,9,3,27,47,7,18,28,72,10,15,15,10,27,21,36,24,9,3,75,88,23,11,18,11,6,5,83,100,13,17,0,0,8,13,3,6,goal(13);goal(29);yellow-card(59);yellow-card(72);goal(84);clearance-off-the-line(88),goal(10);yellow-card(17);own-goal(82);yellow-card(92)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Philips Stadion,34000,PSV Eindhoven,CSKA Moscow,David José Fernández Borbalán,0,0,2,1,7.04,6.58,11,6,0,0,3,2,5,4,3,0,52.1,47.9,600,553,82,79,443,411,364,325,6,2,18,8,30,14,8,18,60,57,15,8,65,35,9,14,14,9,18,17,26,35,8,18,69,49,14,23,21,20,4,5,50,0,5,12,0,0,18,7,11,2,yellow-card(66);yellow-card(75);yellow-card(75);goal(78);yellow-card(83);goal(85),yellow-card(36);yellow-card(56);penalty_scored(76);yellow-card(77)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Türk Telekom Arena,26464,Galatasaray,FC Astana,Craig Thomson,0,0,1,1,6.87,6.84,22,17,1,1,7,5,9,11,6,1,59.2,40.8,710,546,86,81,533,366,460,297,16,13,4,7,9,17,7,4,44,41,17,16,52,48,15,18,18,15,20,11,27,15,7,4,74,73,19,26,18,20,8,5,50,40,6,10,0,0,9,9,1,0,shot-on-post(45);goal(64);yellow-card(90),shot-on-post(15);yellow-card(49);yellow-card(60);goal(62)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Estádio da Luz,47630,Benfica,Atletico,Ovidiu Hategan,0,1,1,2,6.82,6.97,12,8,0,0,3,5,6,3,3,0,56.7,43.3,832,683,85,82,641,493,547,406,10,5,17,6,26,20,6,17,65,30,16,13,55,45,17,12,12,17,31,32,37,49,6,17,84,65,12,27,23,25,2,5,0,40,23,17,0,0,9,16,1,2,goal(75);yellow-card(77),goal(33);goal(55);yellow-card(68);yellow-card(70);yellow-card(89)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Etihad Stadium,41829,Man City,Borussia M.Gladbach,Danny Makkelie,1,2,4,2,7.32,6.65,20,12,0,0,9,4,7,4,4,4,50.8,49.2,719,740,82,80,559,566,456,455,15,7,18,14,21,21,14,18,86,67,19,9,68,32,23,5,5,23,16,14,30,32,14,18,53,44,12,39,21,23,7,0,29,0,11,9,0,1,8,12,2,0,goal(16);goal(79);goal(81);goal(85),goal(19);goal(42)
2015/2016,UEFA Champions League Group Stages,2015/12/08,19:45,Ramón-Sánchez Pizjuán,35583,Sevilla,Juventus,Szymon Marciniak,0,0,1,0,7.16,6.84,18,19,0,1,6,8,8,8,4,3,47,53,566,624,84,86,403,473,339,407,12,17,12,15,18,26,15,12,67,58,16,16,50,50,21,11,11,21,21,12,36,24,15,12,58,50,16,21,11,9,4,3,25,33,6,10,0,1,12,15,4,0,goal(65),yellow-card(38);yellow-card(49);shot-on-post(81)
2015/2016,UEFA Champions League Group Stages,2015/12/09,19:45,BayArena,29412,Leverkusen,Barcelona,Mark Clattenburg,1,1,1,1,7.05,6.90,26,6,0,0,10,2,7,3,9,1,49.1,50.9,692,715,78,77,488,508,383,393,16,4,20,15,37,25,15,20,54,60,14,11,56,44,14,11,11,14,29,27,44,47,15,20,66,57,12,28,30,18,6,1,67,0,10,19,0,1,10,13,3,4,goal(23);yellow-card(29),goal(20);yellow-card(52);yellow-card(85);yellow-card(86)
2015/2016,UEFA Champions League Group Stages,2015/12/09,19:45,Olimpico,29489,Roma,BATE,Martin Atkinson,0,0,0,0,7.13,6.92,24,8,0,0,9,2,11,3,4,3,53.3,46.7,613,575,79,72,436,396,343,286,20,6,7,10,13,17,10,7,54,59,31,12,72,28,17,26,26,17,18,17,28,24,10,7,64,71,15,31,24,20,7,1,29,0,11,11,0,0,12,14,1,1,,clearance-off-the-line(72)
