Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2016/2017,Europa League Playoff,2017/5/25,19:45,AFAS Stadion,12026,AZ Alkmaar,FC Utrecht,Kevin Blom,2,0,3,0,7.38,6.33,21,14,0,0,7,2,11,9,3,3,43,57,579,690,71,78,369,489,261,383,14,9,5,10,9,28,10,5,56,36,17,19,47,53,17,19,19,17,25,19,35,24,10,5,71,79,39,30,9,9,4,3,50,0,15,7,0,1,9,11,1,1,goal(17);own-goal(32);goal(64);yellow-card(90),yellow-card(58)
2016/2017,Europa League Playoff,2017/5/28,11:30,Stadion Galgenwaard,16586,FC Utrecht,AZ Alkmaar,Pol van Boekel,2,0,3,0,7.57,6.50,32,3,2,0,13,1,14,1,5,1,58.3,41.7,729,613,78,66,488,365,381,241,19,3,4,7,9,13,7,4,44,54,28,32,47,53,40,20,20,40,23,19,30,23,7,4,77,83,19,59,15,12,7,3,71,67,14,17,0,0,25,20,3,1,shot-on-post(12);goal(12);yellow-card(17);goal(28);shot-on-post(82);goal(82);penalty-missed(96);yellow-card(109),yellow-card(22);yellow-card(34);yellow-card(58);red-card(67);yellow-card(96);penalty_saved(96)
2016/2017,Europa League Playoff,2017/5/17,17:30,Abe Lenstra Stadion,10187,SC Heerenveen,FC Utrecht,Serdar Gözübüyük,0,2,1,3,6.42,7.11,10,13,0,1,5,6,4,4,1,3,47.6,52.4,582,633,78,79,422,457,330,362,7,12,10,6,18,12,6,10,56,50,19,17,53,47,15,21,21,15,20,15,26,25,6,10,77,60,22,16,9,17,3,5,0,40,7,14,1,0,13,15,1,3,goal(61);error-to-goal(72),goal(15);yellow-card(18);goal(20);yellow-card(60);yellow-card(68);goal(72);shot-on-post(83)
2016/2017,Europa League Playoff,2017/5/17,19:45,Noordlease Stadion,20610,FC Groningen,AZ Alkmaar,Bas Nijhuis,0,1,1,4,6.29,7.30,20,16,0,0,5,7,8,8,7,1,45.2,54.8,615,730,79,81,426,535,335,432,15,14,8,8,12,12,8,8,67,67,13,17,43,57,14,16,16,14,11,14,19,22,8,8,58,64,27,22,9,20,9,3,44,0,10,7,1,1,4,3,0,4,goal(68);yellow-card(90),yellow-card(3);goal(45);goal(66);error-to-goal(68);goal(74);goal(92)
2016/2017,Europa League Playoff,2017/5/20,17:30,Stadion Galgenwaard,14152,FC Utrecht,SC Heerenveen,Dennis Higler,2,0,2,1,6.79,6.43,16,8,1,2,7,2,7,4,2,2,39,61,511,724,74,82,348,557,257,455,14,5,7,7,11,12,7,7,64,58,11,13,46,54,14,10,10,14,20,11,27,18,7,7,74,61,19,19,8,11,6,1,67,0,7,15,0,2,16,7,3,3,goal(30);goal(38);yellow-card(60);shot-on-post(85),error-to-goal(38);shot-on-post(52);penalty_scored(61);shot-on-post(87)
2016/2017,Europa League Playoff,2017/5/20,19:45,AFAS Stadion,10413,AZ Alkmaar,FC Groningen,Serdar Gözübüyük,1,1,4,1,7.26,6.14,20,9,1,0,10,1,6,5,4,3,55.9,44.1,655,577,85,80,497,401,422,321,16,4,10,9,12,18,9,10,83,50,8,6,57,43,8,6,6,8,14,11,23,21,9,10,61,52,9,35,14,14,13,4,31,50,9,5,0,3,6,8,1,4,goal(9);yellow-card(31);shot-on-post(35);goal(54);goal(62);goal(82),goal(37);error-to-goal(55);yellow-card(60);error-to-goal(62);error-to-goal(82);yellow-card(87)
2016/2017,Europa League Playoff,2017/5/17,17:30,Abe Lenstra Stadion,10187,SC Heerenveen,FC Utrecht,Serdar Gözübüyük,0,2,1,3,6.42,7.11,10,13,0,1,5,6,4,4,1,3,47.6,52.4,582,633,78,79,422,457,330,362,7,12,10,6,18,12,6,10,56,50,19,17,53,47,15,21,21,15,20,15,26,25,6,10,77,60,22,16,9,17,3,5,0,40,7,14,1,0,13,15,1,3,goal(61);error-to-goal(72),goal(15);yellow-card(18);goal(20);yellow-card(60);yellow-card(68);goal(72);shot-on-post(83)
2016/2017,Europa League Playoff,2017/5/17,19:45,Noordlease Stadion,20610,FC Groningen,AZ Alkmaar,Bas Nijhuis,0,1,1,4,6.29,7.30,20,16,0,0,5,7,8,8,7,1,45.2,54.8,615,730,79,81,426,535,335,432,15,14,8,8,12,12,8,8,67,67,13,17,43,57,14,16,16,14,11,14,19,22,8,8,58,64,27,22,9,20,9,3,44,0,10,7,1,1,4,3,0,4,goal(68);yellow-card(90),yellow-card(3);goal(45);goal(66);error-to-goal(68);goal(74);goal(92)
2016/2017,Europa League Playoff,2017/5/20,17:30,Stadion Galgenwaard,14152,FC Utrecht,SC Heerenveen,Dennis Higler,2,0,2,1,6.79,6.43,16,8,1,2,7,2,7,4,2,2,39,61,511,724,74,82,348,557,257,455,14,5,7,7,11,12,7,7,64,58,11,13,46,54,14,10,10,14,20,11,27,18,7,7,74,61,19,19,8,11,6,1,67,0,7,15,0,2,16,7,3,3,goal(30);goal(38);yellow-card(60);shot-on-post(85),error-to-goal(38);shot-on-post(52);penalty_scored(61);shot-on-post(87)
2016/2017,Europa League Playoff,2017/5/20,19:45,AFAS Stadion,10413,AZ Alkmaar,FC Groningen,Serdar Gözübüyük,1,1,4,1,7.26,6.14,20,9,1,0,10,1,6,5,4,3,55.9,44.1,655,577,85,80,497,401,422,321,16,4,10,9,12,18,9,10,83,50,8,6,57,43,8,6,6,8,14,11,23,21,9,10,61,52,9,35,14,14,13,4,31,50,9,5,0,3,6,8,1,4,goal(9);yellow-card(31);shot-on-post(35);goal(54);goal(62);goal(82),goal(37);error-to-goal(55);yellow-card(60);error-to-goal(62);error-to-goal(82);yellow-card(87)
2016/2017,Europa League Playoff,2017/5/17,17:30,Abe Lenstra Stadion,10187,SC Heerenveen,FC Utrecht,Serdar Gözübüyük,0,2,1,3,6.42,7.11,10,13,0,1,5,6,4,4,1,3,47.6,52.4,582,633,78,79,422,457,330,362,7,12,10,6,18,12,6,10,56,50,19,17,53,47,15,21,21,15,20,15,26,25,6,10,77,60,22,16,9,17,3,5,0,40,7,14,1,0,13,15,1,3,goal(61);error-to-goal(72),goal(15);yellow-card(18);goal(20);yellow-card(60);yellow-card(68);goal(72);shot-on-post(83)
2016/2017,Europa League Playoff,2017/5/17,19:45,Noordlease Stadion,20610,FC Groningen,AZ Alkmaar,Bas Nijhuis,0,1,1,4,6.29,7.30,20,16,0,0,5,7,8,8,7,1,45.2,54.8,615,730,79,81,426,535,335,432,15,14,8,8,12,12,8,8,67,67,13,17,43,57,14,16,16,14,11,14,19,22,8,8,58,64,27,22,9,20,9,3,44,0,10,7,1,1,4,3,0,4,goal(68);yellow-card(90),yellow-card(3);goal(45);goal(66);error-to-goal(68);goal(74);goal(92)
2016/2017,Europa League Playoff,2017/5/20,17:30,Stadion Galgenwaard,14152,FC Utrecht,SC Heerenveen,Dennis Higler,2,0,2,1,6.79,6.43,16,8,1,2,7,2,7,4,2,2,39,61,511,724,74,82,348,557,257,455,14,5,7,7,11,12,7,7,64,58,11,13,46,54,14,10,10,14,20,11,27,18,7,7,74,61,19,19,8,11,6,1,67,0,7,15,0,2,16,7,3,3,goal(30);goal(38);yellow-card(60);shot-on-post(85),error-to-goal(38);shot-on-post(52);penalty_scored(61);shot-on-post(87)
2016/2017,Europa League Playoff,2017/5/20,19:45,AFAS Stadion,10413,AZ Alkmaar,FC Groningen,Serdar Gözübüyük,1,1,4,1,7.26,6.14,20,9,1,0,10,1,6,5,4,3,55.9,44.1,655,577,85,80,497,401,422,321,16,4,10,9,12,18,9,10,83,50,8,6,57,43,8,6,6,8,14,11,23,21,9,10,61,52,9,35,14,14,13,4,31,50,9,5,0,3,6,8,1,4,goal(9);yellow-card(31);shot-on-post(35);goal(54);goal(62);goal(82),goal(37);error-to-goal(55);yellow-card(60);error-to-goal(62);error-to-goal(82);yellow-card(87)
