Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2017/2018,Eredivisie,2018/5/06,13:30,Abe Lenstra Stadion,24640,SC Heerenveen,Feyenoord,Danny Makkelie,0,2,2,3,6.60,7.12,13,16,1,1,3,7,8,5,2,4,43.3,56.7,528,672,75,79,344,460,257,364,9,12,13,11,18,21,11,13,72,52,14,21,40,60,18,17,17,18,25,21,36,34,11,13,69,62,15,24,15,17,2,4,0,50,16,15,1,0,15,12,2,1,yellow-card(14);shot-on-post(19);yellow-card(38);goal(79);own-goal(80);penalty-missed(83);clearance-off-the-line(83),goal(10);yellow-card(21);shot-on-post(26);goal(41);yellow-card(82);penalty_saved(83);goal(90)
2017/2018,Eredivisie,2018/5/06,13:30,Stadion Galgenwaard,19669,FC Utrecht,VVV-Venlo,Martin Pérez,0,0,1,0,7.14,6.61,25,12,2,0,8,4,9,4,8,4,56.5,43.5,630,538,83,76,445,347,371,263,22,9,5,7,12,11,7,5,42,64,14,18,44,56,15,17,17,15,16,16,23,21,7,5,70,76,27,27,6,8,9,4,56,50,9,12,0,1,15,5,0,2,shot-on-post(31);shot-on-post(40);yellow-card(64);goal(71);yellow-card(86),yellow-card(43)
2017/2018,Eredivisie,2018/5/06,13:30,"Sparta-Stadion ""Het Kasteel""",8846,Sparta Rotterdam,Heracles,Christiaan Bax,1,1,2,5,6.48,7.17,10,15,0,1,6,11,2,2,2,2,46.8,53.2,566,647,79,85,409,460,324,392,8,10,6,10,11,13,10,6,55,77,6,8,43,57,6,8,8,6,22,10,32,16,10,6,69,63,21,15,17,10,3,5,33,0,5,19,1,1,17,11,3,3,goal(25);goal(50);yellow-card(55);yellow-card(59);yellow-card(62),shot-on-post(21);goal(26);goal(61);goal(78);goal(91);goal(93)
2017/2018,Eredivisie,2018/5/06,13:30,AFAS Stadion,16532,AZ Alkmaar,PEC Zwolle,Allard Lindhout,1,0,6,0,7.80,5.88,19,6,0,0,13,3,3,3,3,0,68.3,31.7,783,441,88,69,606,279,532,193,16,4,12,8,16,13,8,12,75,62,8,12,40,60,8,12,12,8,11,13,19,25,8,12,58,52,13,23,9,16,9,2,44,0,9,6,0,1,11,7,3,2,goal(13);goal(52);goal(62);goal(76);goal(77);goal(88);yellow-card(90),error-to-goal(13);yellow-card(35)
2017/2018,Eredivisie,2018/5/06,13:30,Koning Willem II Stadion,11600,Willem II,Vitesse,Siemen Mulder,1,0,2,2,6.86,6.70,20,15,1,0,8,4,6,7,6,4,41.4,58.6,512,629,77,83,327,457,253,379,15,13,11,6,14,12,6,11,79,50,10,12,45,55,11,11,11,11,15,10,21,21,6,11,71,48,32,11,12,6,2,4,50,75,7,9,0,0,5,8,3,1,shot-on-post(29);goal(29);goal(70);clearance-off-the-line(85),goal(63);goal(83)
2017/2018,Eredivisie,2018/5/06,13:30,Philips Stadion,33700,PSV Eindhoven,FC Groningen,Ed Janssen,0,0,0,0,6.77,6.88,14,10,0,0,5,4,6,5,3,1,54.7,45.3,591,539,80,83,406,351,324,291,11,8,13,14,21,18,14,13,62,78,12,18,40,60,16,15,14,15,10,16,24,29,14,13,42,55,10,26,6,10,11,2,36,100,8,6,0,1,8,13,1,3,yellow-card(13);clearance-off-the-line(51),yellow-card(13);yellow-card(14)
2017/2018,Eredivisie,2018/5/06,13:30,Van Donge & De Roo Stadion,4400,Excelsior,Ajax,Bas Nijhuis,1,0,1,2,6.84,7.08,16,23,0,0,5,12,7,6,4,5,36.6,63.4,532,799,72,84,322,580,232,486,13,16,7,20,15,30,20,7,47,67,21,15,58,42,27,9,9,27,18,17,38,24,20,7,47,71,27,11,19,14,8,11,50,27,9,8,0,1,6,6,0,4,own-goal(20);clearance-off-the-line(53);clearance-off-the-line(56),error-to-goal(20);goal(48);penalty_scored(54);clearance-off-the-line(91)
2017/2018,Eredivisie,2018/5/06,13:30,Parkstad Limburg Stadion,13794,Roda,ADO Den Haag,Jeroen Manschot,0,3,2,3,6.67,6.99,23,14,2,0,7,6,11,6,5,2,58.2,41.8,641,516,82,73,450,335,371,246,19,11,15,5,18,9,5,15,83,56,16,12,57,43,17,11,11,17,5,18,10,33,5,15,50,55,10,29,7,16,8,2,63,100,15,1,2,0,8,7,3,3,error-to-goal(3);shot-on-post(56);goal(56);penalty_scored(61);shot-on-post(85),goal(3);goal(23);goal(34);yellow-card(66);clearance-off-the-line(84)
2017/2018,Eredivisie,2018/5/06,13:30,De Grolsch Veste,25600,Twente,NAC Breda,Edwin van de Graaf,1,1,1,1,6.71,6.75,20,11,0,1,8,5,7,6,5,0,45.3,54.7,547,665,79,84,386,485,306,406,17,8,8,10,11,16,10,8,73,63,11,17,39,61,17,11,11,17,18,7,28,15,10,8,64,47,13,25,13,13,7,4,29,75,4,12,0,0,11,7,3,3,goal(39),goal(16);shot-on-post(58)
2017/2018,Eredivisie,2018/4/29,13:30,Noordlease Stadion,18847,FC Groningen,Excelsior,Martin van den Kerkhof,2,0,4,0,7.53,6.05,22,7,0,0,9,3,8,3,5,1,47,53,628,681,82,82,459,518,376,423,19,6,7,5,11,14,5,7,64,36,20,14,59,41,12,22,22,12,17,15,22,22,5,7,77,68,13,21,10,8,2,3,50,0,11,8,0,2,11,11,3,1,goal(42);goal(46);goal(71);goal(73),yellow-card(35);yellow-card(46);error-to-goal(71);error-to-goal(73)
