Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2019/2020,regular,2020/3/06,19:00,Fortuna Sittard Stadion,10071,Fortuna Sittard,PEC Zwolle,Martin van den Kerkhof,0,0,1,1,6.41,6.62,9,12,0,0,2,5,5,7,2,0,46,54,622,693,78,79,423,508,331,401,7,8,4,11,8,15,11,4,50,73,14,19,42,58,22,11,11,22,13,18,24,22,11,4,54,82,12,24,13,9,4,4,0,75,14,9,0,1,11,17,1,0,yellow-card(13);goal(71);yellow-card(90),yellow-card(37);yellow-card(86);penalty_scored(90)
2019/2020,regular,2020/3/07,17:30,AFAS Stadion,16117,AZ Alkmaar,ADO Den Haag,Dennis Higler,2,0,4,0,7.26,5.99,16,6,0,0,8,1,3,4,5,1,75.8,24.2,915,418,88,70,762,240,673,167,12,5,9,10,15,15,10,9,60,67,7,7,50,50,7,7,7,7,11,15,21,24,10,9,52,63,6,20,8,16,6,2,50,50,9,6,0,0,9,9,2,2,yellow-card(2);penalty_scored(13);goal(19);goal(84);goal(89),yellow-card(61);yellow-card(78);yellow-card(91)
2019/2020,regular,2020/3/07,18:45,GelreDome,14210,Vitesse,Twente,Richard Martens,0,0,1,0,6.97,6.31,9,8,1,1,2,2,5,3,2,3,46.9,53.1,646,687,74,76,405,472,301,361,7,6,13,7,20,15,7,13,65,47,21,12,64,36,20,13,13,20,23,20,30,33,7,13,77,61,18,27,10,6,4,2,25,0,13,15,1,0,16,13,6,3,yellow-card(8);shot-on-post(10);yellow-card(11);goal(70);yellow-card(81),shot-on-post(13);yellow-card(48);yellow-card(71);yellow-card(79)
2019/2020,regular,2020/3/07,18:45,De Oude Meerdijk,8100,FC Emmen,VVV-Venlo,Siemen Mulder,0,0,3,0,7.28,6.27,17,7,0,0,6,0,8,4,3,3,59.8,40.2,725,538,80,72,522,347,416,250,11,5,16,6,28,11,6,16,57,55,20,16,56,44,12,24,24,12,16,17,22,33,6,16,73,52,16,21,10,23,5,4,20,75,5,11,0,0,11,13,2,4,goal(49);goal(56);goal(74),yellow-card(26)
2019/2020,regular,2020/3/07,19:45,Abe Lenstra Stadion,25950,SC Heerenveen,Ajax,Jeroen Manschot,0,0,1,3,6.63,7.04,8,14,0,1,5,7,2,4,1,3,37.5,62.5,544,733,69,77,323,517,224,399,6,10,9,12,19,25,12,9,47,48,24,18,57,43,20,22,22,20,25,20,37,29,12,9,68,69,41,3,18,10,3,9,33,44,10,12,1,1,9,5,2,4,error-to-goal(57);goal(67);yellow-card(89),yellow-card(12);goal(57);goal(60);goal(63);clearance-off-the-line(87);shot-on-post(92)
2019/2020,regular,2020/3/08,11:15,Stadion Galgenwaard,20624,FC Utrecht,Sparta Rotterdam,Allard Lindhout,1,0,5,1,7.18,6.09,15,7,0,0,6,1,7,3,2,3,70.2,29.8,845,463,86,70,678,296,585,207,11,5,5,8,8,13,8,5,63,62,11,7,61,39,7,11,11,7,12,15,20,20,8,5,60,75,9,24,11,15,7,1,43,0,12,7,0,0,5,10,1,0,goal(42);goal(50);goal(51);goal(59);goal(72),goal(89)
2019/2020,regular,2020/3/08,13:30,Erve Asito,10412,Heracles,RKC Waalwijk,Edwin van de Graaf,2,2,4,2,7.10,6.30,23,11,3,0,10,4,9,5,4,2,58.5,41.5,686,551,83,76,503,359,417,274,15,8,10,7,21,12,7,10,48,58,9,3,75,25,7,5,5,7,15,19,22,29,7,10,68,66,5,22,5,9,7,4,43,75,8,10,0,1,11,11,3,2,penalty-missed(6);shot-on-post(8);yellow-card(14);goal(30);goal(34);goal(52);yellow-card(58);shot-on-post(60);goal(66),penalty_scored(16);goal(28);yellow-card(41);error-to-goal(52);yellow-card(64);yellow-card(73)
2019/2020,regular,2020/3/08,13:30,De Kuip,47500,Feyenoord,Willem II,Pol van Boekel,2,0,2,0,6.89,6.22,12,3,0,0,3,0,5,2,4,1,57.8,42.2,718,572,81,76,550,401,444,303,10,3,5,7,9,8,7,5,56,88,10,13,43,57,11,12,12,11,13,22,20,27,7,5,65,81,11,9,11,11,6,3,17,67,18,12,0,0,15,12,0,2,goal(30);penalty_scored(35);yellow-card(67);yellow-card(84);yellow-card(87);yellow-card(89),yellow-card(64)
2019/2020,regular,2020/3/08,15:45,Hitachi Capital Mobility Stadion,19116,FC Groningen,PSV Eindhoven,Serdar Gözübüyük,0,1,0,1,6.39,6.93,13,7,0,0,4,2,5,3,4,2,56.8,43.2,713,595,79,76,513,402,405,304,10,7,8,6,12,9,6,8,67,67,14,17,45,55,18,13,13,18,12,15,18,23,6,8,67,65,11,29,10,14,11,6,36,17,11,9,0,0,5,11,0,2,yellow-card(39),goal(16)
2019/2020,regular,2020/2/28,19:00,Koning Willem II Stadion,13607,Willem II,FC Groningen,Richard Martens,2,0,3,1,6.91,6.30,9,16,0,0,4,3,5,9,0,4,49.4,50.6,590,618,75,76,404,415,302,317,7,11,6,13,16,21,13,6,38,62,18,21,46,54,22,17,17,22,18,17,31,23,13,6,58,74,10,13,14,5,5,5,80,60,7,10,0,1,10,9,3,3,goal(27);goal(40);goal(64),error-to-goal(27);yellow-card(34);goal(74);yellow-card(80);yellow-card(82);yellow-card(84)
