Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020/2021,Europa League Final Stage,2021/5/26,20:00,Stadion Energa Gdansk,9412,Villarreal,Man Utd,Clément Turpin,1,0,1,1,6.76,6.75,12,14,0,0,1,2,7,7,4,5,39.8,60.2,724,955,74,86,451,692,334,595,10,9,7,12,17,28,12,7,41,43,21,22,49,51,29,14,14,29,31,20,43,27,12,7,72,74,27,20,8,17,7,3,43,33,10,15,0,0,10,15,0,4,goal(29);yellow-card(54);yellow-card(84),goal(55);yellow-card(82);yellow-card(113)
2020/2021,Europa League Final Stage,2021/5/06,20:00,Olimpico,0,Roma,Man Utd,Dr. Felix Brych,0,1,3,2,6.87,6.60,22,13,1,1,12,5,8,6,2,2,52.8,47.2,724,663,87,86,535,493,464,425,14,12,15,7,23,12,7,15,65,58,12,8,60,40,12,8,8,12,17,17,24,32,7,15,71,53,4,16,9,9,7,1,43,0,9,12,0,0,11,16,2,4,goal(57);goal(60);yellow-card(72);shot-on-post(73);own-goal(83);yellow-card(84),yellow-card(18);shot-on-post(20);goal(39);yellow-card(58);goal(68);yellow-card(72);yellow-card(92)
2020/2021,Europa League Final Stage,2021/5/06,20:00,Emirates Stadium,0,Arsenal,Villarreal,Slavko Vincic,0,0,0,0,6.73,6.62,14,8,2,0,1,3,8,1,5,4,55.8,44.2,688,570,86,79,489,405,421,318,9,5,14,6,20,10,6,14,70,60,22,15,59,41,20,17,17,20,9,17,15,31,6,14,60,55,13,24,10,7,8,5,0,60,11,5,0,0,13,6,1,1,shot-on-post(26);shot-on-post(79);yellow-card(92),yellow-card(86)
2020/2021,Europa League Final Stage,2021/4/29,20:00,Old Trafford,0,Man Utd,Roma,Carlos del Cerro Grande,1,2,6,2,7.21,6.14,20,5,0,0,11,3,7,2,2,0,63.7,36.3,722,470,87,72,547,309,476,223,13,4,10,9,16,17,9,10,63,53,8,10,44,56,11,7,7,11,12,12,21,22,9,10,57,55,8,19,10,20,6,2,50,0,6,4,0,2,12,12,2,1,goal(9);goal(48);yellow-card(51);goal(64);penalty_scored(71);goal(75);goal(86),penalty_scored(15);goal(33);yellow-card(50);yellow-card(61);error-to-goal(64)
2020/2021,Europa League Final Stage,2021/4/29,20:00,Estadio de la Cerámica,0,Villarreal,Arsenal,Artur Manuel Soares Dias,2,0,2,1,6.47,6.32,9,9,0,0,6,2,3,5,0,2,47.1,52.9,565,613,84,85,419,465,353,393,8,5,6,9,15,17,9,6,40,53,4,13,24,76,7,10,10,7,15,13,24,19,9,6,63,68,10,6,8,11,3,3,67,33,4,7,0,0,11,14,1,3,goal(5);goal(29);yellow-card(37);second-yellow(80),second-yellow(57);yellow-card(58);penalty_scored(73);yellow-card(90)
2020/2021,Europa League Final Stage,2021/4/15,20:00,Old Trafford,0,Man Utd,Granada,István Kovács,1,0,2,0,6.93,6.21,9,11,0,0,2,3,6,5,1,3,58.8,41.2,786,594,86,80,594,391,511,311,8,7,15,15,20,22,15,15,75,68,9,13,41,59,3,19,19,3,21,12,36,27,15,15,58,44,22,9,12,8,0,4,0,25,7,14,0,0,16,12,2,1,goal(6);yellow-card(17);own-goal(90),yellow-card(19);yellow-card(61);yellow-card(74)
2020/2021,Europa League Final Stage,2021/4/15,20:00,Sinobo Stadium,0,Slavia Prague,Arsenal,Cüneyt Çakir,0,3,0,4,5.88,7.15,7,7,0,0,0,5,2,1,5,1,61,39,738,545,87,82,586,371,509,304,5,6,5,11,12,19,11,5,42,58,9,7,56,44,7,9,9,7,16,18,27,23,11,5,59,78,10,15,5,9,3,5,33,60,11,8,0,0,9,14,0,4,yellow-card(20);yellow-card(63),goal(18);penalty_scored(21);goal(24);goal(77);yellow-card(82)
2020/2021,Europa League Final Stage,2021/4/15,20:00,Olimpico,0,Roma,Ajax,Anthony Taylor,0,0,1,1,6.57,6.52,7,10,0,0,3,3,3,5,1,2,28.4,71.6,404,771,69,86,234,601,161,519,4,9,7,11,13,16,11,7,54,69,20,11,65,35,13,18,18,13,13,10,24,17,11,7,54,59,34,3,16,9,2,6,100,50,4,8,1,0,13,13,1,3,yellow-card(43);yellow-card(67);yellow-card(68);goal(72);yellow-card(78);yellow-card(86),goal(49);yellow-card(89);yellow-card(92)
2020/2021,Europa League Final Stage,2021/4/15,20:00,Estadio de la Cerámica,0,Villarreal,Dinamo Zagreb,Danny Makkelie,2,0,2,1,6.73,6.34,12,8,2,0,5,3,4,4,3,1,58.1,41.9,691,554,86,84,559,396,480,333,11,7,13,9,15,14,9,13,87,64,14,5,74,26,10,9,9,10,14,7,23,20,9,13,61,35,9,6,8,10,4,2,100,50,5,9,0,0,14,8,1,3,shot-on-post(25);goal(36);goal(43);yellow-card(60);shot-on-post(76),yellow-card(40);clearance-off-the-line(59);goal(74)
2020/2021,Europa League Final Stage,2021/4/08,20:00,Nuevo Los Cármenes,0,Granada,Man Utd,Artur Manuel Soares Dias,0,1,0,2,6.23,6.88,11,13,0,0,3,3,6,5,2,5,32.9,67.1,408,716,59,86,237,518,141,448,6,10,4,6,7,13,6,4,57,46,12,15,44,56,14,13,13,14,23,8,29,12,6,4,79,67,15,24,11,9,11,5,55,60,5,16,0,0,14,12,2,0,yellow-card(51);yellow-card(89),yellow-card(8);goal(31);yellow-card(40);yellow-card(42);yellow-card(72);yellow-card(84);penalty_scored(90)
