Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020/2021,Europa League Group Stages,2020/12/10,17:55,Wankdorf,0,Young Boys,Cluj,Benoît Bastien,0,0,2,1,6.77,6.70,15,14,0,1,5,5,7,4,3,5,58.7,41.3,689,545,73,64,459,329,337,211,11,10,9,9,16,13,9,9,56,69,32,30,52,48,28,34,34,28,10,19,19,28,9,9,53,68,19,27,12,24,7,4,71,75,12,6,0,0,19,12,3,2,yellow-card(84);penalty_scored(93);red-card(95);yellow-card(95);goal(96),yellow-card(71);shot-on-post(84);goal(84);yellow-card(85);yellow-card(88);clearance-off-the-line(89);red-card(90);yellow-card(90);red-card(97);yellow-card(99)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Vasil Levski National Stadium,0,PFC CSKA-Sofia,Roma,Irfan Peljto,2,1,3,1,6.75,6.28,8,17,0,0,3,5,3,2,2,10,29.3,70.7,433,840,74,89,273,667,201,591,7,13,5,10,10,12,10,5,50,83,7,8,47,53,8,7,7,8,8,7,18,12,10,5,44,58,22,15,11,11,2,10,0,40,2,6,0,2,13,12,0,1,goal(5);goal(34);goal(55);yellow-card(89),goal(22);error-to-goal(34);error-to-goal(55);yellow-card(83)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Aviva Stadium,0,Dundalk,Arsenal,Ivan Bebek,1,2,2,4,6.31,6.79,5,17,0,0,2,8,2,3,1,6,48.2,51.8,664,706,86,90,509,543,439,489,3,14,5,6,8,18,6,5,63,33,8,3,73,27,7,4,4,7,22,8,28,13,6,5,79,62,17,5,11,14,2,4,50,50,5,10,1,0,8,13,1,1,yellow-card(10);error-to-goal(12);goal(22);yellow-card(61);yellow-card(70);yellow-card(77);yellow-card(82);goal(85),goal(12);goal(18);yellow-card(28);yellow-card(30);goal(67);goal(80)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Allianz Stadion,0,Rapid Wien,Molde,Marco Guida,1,1,2,2,6.68,6.69,23,11,0,0,7,3,9,6,7,2,64.9,35.1,809,518,81,60,603,331,486,198,15,9,7,11,9,17,11,7,78,65,18,22,45,55,16,24,24,16,13,13,24,20,11,7,54,65,13,22,22,12,9,2,44,50,11,7,0,0,14,12,4,2,yellow-card(26);goal(43);yellow-card(89);goal(90);yellow-card(91),goal(12);goal(46);yellow-card(60);yellow-card(64);yellow-card(73)
2020/2021,Europa League Group Stages,2020/12/10,17:55,BayArena,0,Leverkusen,Slavia Prague,Anastasios Sidiropoulos,2,0,4,0,7.20,6.16,18,7,1,0,7,3,4,4,7,0,53.9,46.1,704,658,82,80,522,450,430,359,14,3,8,15,14,26,15,8,57,58,7,9,44,56,10,6,6,10,23,16,38,24,15,8,61,67,8,9,13,22,8,1,25,0,10,12,0,0,17,13,4,2,goal(8);shot-on-post(32);goal(32);yellow-card(39);goal(59);yellow-card(84);goal(91),
2020/2021,Europa League Group Stages,2020/12/10,17:55,Ha Moshava,0,Hapoel Beer Sheva,Nice,Kristo Tohver,0,0,1,0,6.77,6.54,7,13,0,0,3,1,4,9,0,3,42.6,57.4,622,786,78,86,399,549,312,473,4,8,17,16,23,26,16,17,74,62,10,8,56,44,7,11,11,7,25,27,41,44,16,17,61,61,15,16,7,13,3,4,100,50,21,15,0,0,14,14,3,3,yellow-card(40);yellow-card(47);goal(71);yellow-card(79);yellow-card(90),yellow-card(36);yellow-card(46)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Stade Maurice Dufrasne,0,Standard Liege,Benfica,Aleksey Kulbakov,1,1,2,2,6.65,6.68,11,18,0,2,4,9,6,7,1,2,45.8,54.2,590,682,80,85,400,482,321,412,10,15,10,13,15,20,13,10,67,65,11,18,38,62,17,12,12,17,16,10,29,20,13,10,55,50,14,12,10,12,1,6,0,83,5,9,0,0,13,11,4,1,goal(12);goal(60);yellow-card(65),goal(16);yellow-card(54);shot-on-post(61);penalty_scored(67);shot-on-post(92);yellow-card(93)
2020/2021,Europa League Group Stages,2020/12/10,17:55,INEA Stadion,0,Lech Poznan,Rangers,José María Sánchez Martínez,0,1,0,2,6.02,7.00,9,14,0,1,2,4,4,7,3,3,49.3,50.7,669,692,82,84,492,502,401,422,3,11,4,16,13,18,16,4,31,89,9,12,43,57,8,13,13,8,10,15,26,19,16,4,38,79,17,22,5,12,3,5,0,40,6,8,1,0,5,12,3,3,error-to-goal(31),yellow-card(7);goal(31);yellow-card(57);shot-on-post(72);goal(72)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Philips Stadion,0,PSV Eindhoven,Omonia Nicosia,Kevin Clancy,1,0,4,0,7.26,5.83,23,8,1,0,10,3,8,3,5,2,61.9,38.1,747,541,82,74,586,367,478,271,18,6,12,6,15,11,6,12,80,55,16,14,53,47,13,17,17,13,11,9,17,21,6,12,65,43,5,19,9,10,8,1,88,0,6,6,0,3,21,9,0,2,yellow-card(29);goal(35);shot-on-post(39);penalty_scored(63);yellow-card(78);goal(91);goal(93),clearance-off-the-line(22);penalty-missed(70);yellow-card(73);yellow-card(83);error-to-goal(91);error-to-goal(91);error-to-goal(93)
2020/2021,Europa League Group Stages,2020/12/10,17:55,Toumba Stadium,0,PAOK Thessaloniki FC,Granada,John Beaton,0,0,0,0,6.59,6.53,7,11,1,0,1,2,4,5,2,4,49.9,50.1,566,576,74,73,378,384,281,282,6,9,8,4,16,16,4,8,50,25,16,16,50,50,12,20,20,12,19,14,23,22,4,8,83,64,18,22,11,7,6,5,0,20,6,7,1,0,20,11,2,1,yellow-card(34);shot-on-post(44);yellow-card(73);yellow-card(89);yellow-card(89),yellow-card(86);yellow-card(86);yellow-card(89)
