VENUE,CAPACITY,MANUAL_ENTRY
San Mam�s,53331,False
La Romareda,33608,False
Vicente Calder�n,54907,False
Juegos Mediterr�neos,15274,False
Ono Estadi,23142,False
Mestalla,48600,False
El Sardinero,22222,False
Camp Nou,99354,False
El Sadar,23576,False
La Rosaleda,30044,False
Coliseum Alfonso P�rez,17000,False
Antiguo San Mamés,53289,False
Iberostar Estadi,23142,False
Coliseum Alfonso Pérez,17000,False
El Molin�n,29029,False
Jos� Zorrilla,26451,False
Ramón Sánchez Pizjuán,42714,False
Heliodoro Rodr�guez L�pez,22824,False
El Madrigal,22000,False
Municipal de Chapín,20523,False
Cornell� - El Prat,40000,False
Municipal de Riazor,34889,False
Santiago Bernab�u,81044,False
Reyno de Navarra,9850,False
José Zorrilla,26451,False
Heliodoro Rodríguez López,22824,False
Ram�n S�nchez Pizju�n,12480,False
Santiago Bernabéu,81044,False
Juegos Mediterráneos,15274,False
Vicente Calderón,54907,False
Cornellá - El Prat,40000,False
Power8 Stadium,40000,False
San Mamés,53331,False
El Molinón,29029,False
Juegos del Mediterráneo,15274,False
Municipal de Chap�n,20523,False
Riazor,34889,False
Santiago Bernab?u,81044,False
El Molin?n,29029,False
Ram?n S?nchez Pizju?n,12480,False
Cornell? - El Prat,40000,False
José Rico Pérez,29500,False
Anoeta,39313,False
Ciutat de Valencia,26354,False
Benito Villamarín,60720,False
Campo de Fútbol de Vallecas,14708,False
Ciutat de València,26354,False
Estadio Los Cármenes,19336,False
Nuevo Los Cármenes,19336,False
Balaídos,29000,False
Los Cármenes,19336,False
ABANCA-Riazor,34889,False
Martínez Valero,31388,False
Estadio Municipal de Ipurúa,8164,False
Estadio Nuevo Arcángel,0,True
RCDE Stadium,40000,False
Ipurúa,8164,False
Ramón-Sánchez Pizjuán,42714,False
Gran Canaria,11500,False
Ramón Sánchez-Pizjuán,42714,False
Butarque,12454,False
Mendizorroza,19840,False
Estadio de la Cerámica,22000,False
Ipurua,8164,False
Estadio de Gran Canaria,11500,False
Wanda Metropolitano,68456,False
Municipal de Montilivi,11810,False
El Alcoraz,9100,False
Estadio de Vallecas,14708,False
Visit Mallorca Estadi,23142,False
Alfredo Di Stéfano,6000,False
Reale Arena,39313,False
Estadio Camilo Cano,5000,False
Son Moix,23142,False
Ramón de Carranza,20724,False
Nuevo Mirandilla,20724,False
