Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2016/2017,regular,2017/5/17,20:00,Stade Louis II,14299,Monaco,Saint-Etienne,Clément Turpin,1,0,2,0,7.06,6.42,14,5,0,0,5,3,5,2,4,0,62.6,37.4,799,559,90,81,614,376,554,306,10,5,4,10,10,18,10,4,40,56,11,13,46,54,11,13,13,11,16,16,26,20,10,4,62,80,8,36,11,8,10,4,70,75,10,8,0,1,6,9,1,1,goal(19);yellow-card(67);goal(93),yellow-card(78)
2016/2017,regular,2017/5/20,20:00,Stade Marcel-Picot,17054,Nancy,Saint-Etienne,Benoît Millot,1,0,3,1,6.86,6.31,14,8,0,0,5,2,6,3,3,3,40.2,59.8,549,748,80,85,361,548,289,466,8,3,7,10,11,14,10,7,64,71,14,18,44,56,20,12,12,20,11,13,21,20,10,7,52,65,25,23,9,9,7,5,29,0,9,7,2,0,14,10,1,3,goal(17);yellow-card(56);goal(59);yellow-card(62);error-to-goal(74);goal(82),goal(74)
2016/2017,regular,2017/5/20,20:00,Stade du Moustoir,15884,Lorient,Bordeaux,Antony Gautier,0,1,1,1,6.61,6.74,9,10,1,0,4,4,4,6,1,0,38.9,61.1,558,787,74,85,359,587,267,498,7,8,6,6,13,10,6,6,46,60,11,14,44,56,16,9,9,16,13,26,19,32,6,6,68,81,21,23,12,12,7,3,14,33,19,9,0,0,12,12,0,0,shot-on-post(4);yellow-card(62);goal(69);yellow-card(77),goal(7);yellow-card(61);yellow-card(68);yellow-card(78)
2016/2017,regular,2017/5/20,20:00,Stade Pierre-Mauroy,28390,Lille,Nantes,Sébastien Desiage,1,0,3,0,7.34,6.15,17,9,0,0,6,2,9,3,2,4,50.3,49.7,623,586,86,81,410,393,354,320,12,6,4,3,8,11,3,4,50,27,14,13,52,48,12,15,15,12,15,26,18,30,3,4,83,87,21,10,28,17,2,9,0,44,22,7,0,0,5,13,4,5,goal(16);goal(46);penalty_scored(53),yellow-card(26);clearance-off-the-line(50);second-yellow(52);yellow-card(81)
2016/2017,regular,2017/5/20,20:00,Stade Vélodrome,55178,Marseille,SC Bastia,Frank Schneider,0,0,1,0,6.92,6.48,12,4,0,0,3,0,8,2,1,2,64.8,35.2,739,467,89,73,544,306,484,222,12,2,6,11,10,19,11,6,60,58,13,18,42,58,6,25,25,6,16,19,27,25,11,6,59,76,24,35,10,6,6,1,33,0,15,8,0,0,17,20,5,1,yellow-card(56);goal(74);yellow-card(77);yellow-card(79),yellow-card(50);yellow-card(77)
2016/2017,regular,2017/5/20,20:00,Groupama Stadium,50080,Lyon,Nice,Jerome Miguelgorry,1,1,3,3,6.69,6.77,15,14,0,0,4,7,9,5,2,2,60.3,39.7,842,621,89,85,663,439,591,372,12,12,16,16,22,21,16,16,73,76,8,7,53,47,7,8,8,7,21,21,37,37,16,16,57,57,3,14,8,12,8,2,38,0,15,16,1,1,14,11,2,4,own-goal(10);error-to-goal(15);goal(48);goal(78),yellow-card(12);goal(15);goal(69);penalty_scored(94)
2016/2017,regular,2017/5/20,20:00,Parc des Princes,45516,PSG,Caen,Johan Hamel,1,0,1,1,6.95,6.88,18,16,0,0,5,6,7,6,6,4,74.7,25.3,903,433,88,68,719,237,636,162,13,10,16,6,23,14,6,16,70,43,13,13,50,50,5,21,21,5,13,10,19,26,6,16,68,38,10,33,12,30,8,5,38,20,3,5,0,0,11,8,1,2,goal(13);penalty_saved(75),yellow-card(25);clearance-off-the-line(57);penalty-missed(75);goal(91)
2016/2017,regular,2017/5/20,20:00,"Stadium Municipal, Toulouse",19768,Toulouse,Dijon,Tony Chapron,0,0,0,0,6.84,6.79,16,9,1,1,2,5,6,2,8,2,57.9,42.1,685,541,82,76,490,358,401,271,14,7,13,4,18,8,4,13,72,50,16,16,50,50,17,15,15,17,10,17,14,30,4,13,71,57,17,25,13,19,8,4,38,75,12,6,1,0,11,16,1,4,penalty-missed(45);yellow-card(64),shot-on-post(4);yellow-card(40);yellow-card(44)
2016/2017,regular,2017/5/20,20:00,Stade Raymond-Kopa,11864,Angers,Montpellier,Lionel Jaffredo,0,0,2,0,7.32,6.50,18,12,0,0,5,5,12,3,1,4,38.6,61.4,598,854,81,89,399,659,324,585,14,12,12,11,16,22,11,12,75,50,14,13,52,48,15,12,12,15,22,17,33,29,11,12,67,59,13,27,23,13,6,4,17,75,13,11,0,1,6,10,1,2,goal(82);goal(88),yellow-card(24);yellow-card(28)
2016/2017,regular,2017/5/20,20:00,Roazhon Park,26565,Rennes,Monaco,Said Ennjimi,0,1,2,3,6.70,7.17,18,23,1,0,5,12,6,6,7,5,50.5,49.5,685,683,83,81,472,474,391,383,12,17,5,10,11,18,10,5,45,56,12,10,55,45,8,14,14,8,19,21,29,26,10,5,66,81,14,21,13,16,3,5,33,60,15,11,1,0,9,12,5,3,clearance-off-the-line(40);penalty_scored(69);shot-on-post(82);goal(91),goal(42);goal(47);goal(78)
