Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021/2022,regular,2022/2/27,12:00,Stade Louis II,3982,Monaco,Reims,Benoît Millot,0,0,1,2,6.65,6.72,18,12,1,1,5,7,3,4,10,1,69.1,30.9,793,454,86,69,577,259,498,179,13,9,22,8,32,15,8,22,69,53,13,13,50,50,19,7,7,19,16,15,24,37,8,22,67,41,8,39,13,14,10,3,50,0,5,9,1,1,15,12,1,0,yellow-card(25);goal(55);shot-on-post(58);second-yellow(88),yellow-card(27);yellow-card(42);shot-on-post(48);own-goal(84);goal(93)
2021/2022,regular,2022/2/27,14:00,Stade Saint-Symphorien,15851,Metz,Nantes,Florent Batta,0,0,0,0,6.75,6.61,8,12,0,0,0,3,6,5,2,4,49.5,50.5,658,673,80,83,448,458,358,380,5,11,15,16,24,32,16,15,63,50,8,13,38,62,12,9,9,12,26,18,42,33,16,15,62,55,17,10,12,9,3,4,33,50,9,10,0,0,14,15,1,1,yellow-card(59);red-card(86),yellow-card(40);yellow-card(51)
2021/2022,regular,2022/2/27,14:00,Stade Raymond-Kopa,9499,Angers,Lens,Thomas Leonard,0,0,1,2,6.01,6.67,13,8,0,0,4,2,6,5,3,1,46.8,53.2,594,634,77,82,406,465,314,381,8,7,6,4,14,8,4,6,43,50,11,23,32,68,21,13,13,21,11,26,15,32,4,6,73,81,9,13,11,8,7,3,57,33,18,7,3,0,13,16,1,1,goal(49);yellow-card(58);second-yellow(69);yellow-card(72);error-to-goal(73);error-to-goal(73);error-to-goal(76),yellow-card(31);yellow-card(40);own-goal(73);goal(76);yellow-card(89)
2021/2022,regular,2022/2/27,14:00,Stade Francis-Le Blé,14050,Brest,Lorient,Benoît Bastien,0,0,0,1,6.43,6.87,4,17,0,0,0,8,2,7,2,2,45.1,54.9,579,658,73,80,361,446,264,358,2,14,11,10,26,17,10,11,42,59,14,16,47,53,22,8,8,22,19,22,29,33,10,11,66,67,16,17,18,10,4,6,25,67,7,12,0,0,12,15,0,2,red-card(29);yellow-card(50);yellow-card(81),yellow-card(43);yellow-card(45);yellow-card(50);yellow-card(65);goal(73)
2021/2022,regular,2022/2/27,14:00,Stade Gabriel-Montpied,12032,Clermont Foot,Bordeaux,Eric Wattellier,1,1,1,1,6.56,6.54,9,10,0,0,3,3,5,3,1,4,53.9,46.1,721,653,82,83,517,440,424,365,5,6,11,8,16,12,8,11,69,67,7,11,39,61,9,9,9,9,18,18,26,29,8,11,69,62,8,24,5,16,6,6,50,33,13,14,0,1,5,13,1,1,goal(32);yellow-card(48),goal(13);yellow-card(44);yellow-card(76)
2021/2022,regular,2022/2/27,16:05,Stade de l'Aube,16871,Troyes,Marseille,François Letexier,0,1,1,1,6.46,6.48,9,8,0,0,3,3,5,2,1,3,41.9,58.1,585,747,86,86,416,593,359,510,7,4,11,10,17,18,10,11,65,56,10,7,59,41,6,11,11,6,18,15,28,26,10,11,64,58,19,13,5,6,4,8,50,13,9,10,0,0,15,8,4,0,yellow-card(27);yellow-card(36);yellow-card(36);yellow-card(49);goal(90);yellow-card(96),yellow-card(11);penalty_scored(28);yellow-card(55);yellow-card(85)
2021/2022,regular,2022/2/27,19:45,Groupama Stadium,42657,Lyon,Lille,Clément Turpin,0,1,0,1,6.45,6.95,21,6,0,0,8,2,7,2,6,2,63.7,36.3,838,563,89,79,631,361,562,284,17,5,12,12,16,18,12,12,75,67,12,9,57,43,10,11,11,10,21,16,33,28,12,12,64,57,2,30,6,15,7,3,71,67,12,15,1,0,14,15,0,3,yellow-card(19);error-to-goal(35);yellow-card(43);yellow-card(92),goal(35);yellow-card(81);yellow-card(82)
2021/2022,regular,2022/2/18,20:00,Stade Pierre-Mauroy,30384,Lille,Metz,Bastien Dechepy,0,0,0,0,6.36,6.64,13,7,0,0,1,0,9,5,3,2,63.6,36.4,753,505,83,72,572,324,477,233,11,3,4,3,13,4,3,4,31,75,11,15,42,58,11,15,15,11,10,26,13,30,3,4,77,87,10,20,9,13,10,1,50,0,17,9,0,0,10,13,1,1,yellow-card(87);second-yellow(91);yellow-card(96),yellow-card(22);yellow-card(67);yellow-card(79);red-card(95);yellow-card(96)
2021/2022,regular,2022/2/19,16:00,Stade Félix Bollaert-Delélis,36624,Lens,Lyon,Jerome Brisard,1,1,1,1,6.59,6.52,13,10,0,0,6,2,6,5,1,3,37.4,62.6,551,808,78,83,357,621,278,517,9,8,9,12,14,21,12,9,64,57,10,7,59,41,7,10,10,7,14,7,26,16,12,9,54,44,15,12,18,8,4,4,50,75,2,5,0,0,8,10,4,2,goal(13),goal(44);yellow-card(70);yellow-card(84)
2021/2022,regular,2022/2/19,20:00,La Beaujoire-Louis-Fonteneau,35500,Nantes,PSG,Mikael Lesage,3,0,3,1,7.13,6.42,13,16,0,0,7,9,5,4,1,3,28.1,71.9,457,892,78,91,267,707,207,641,10,12,10,17,17,28,17,10,59,61,6,11,35,65,11,6,6,11,25,14,42,24,17,10,60,58,24,12,15,7,5,7,40,57,7,14,0,0,16,10,1,1,goal(4);goal(16);yellow-card(18);yellow-card(46);penalty_scored(51);penalty_saved(59),yellow-card(38);yellow-card(50);goal(47);yellow-card(50);penalty-missed(59);yellow-card(83);yellow-card(91);yellow-card(93)
2021/2022,regular,2022/2/20,12:00,Allianz Riviera,18257,Nice,Angers,Romain Lissorgue,1,0,1,0,6.78,6.34,9,11,0,1,5,2,3,7,1,2,57.3,42.7,727,573,87,82,521,393,452,322,6,8,12,7,26,15,7,12,46,47,7,6,54,46,7,6,6,7,14,19,21,31,7,12,67,61,9,17,7,10,4,5,50,60,5,6,0,1,11,17,4,1,goal(19);yellow-card(72);yellow-card(92),error-to-goal(19);yellow-card(34);shot-on-post(47);yellow-card(78)
2021/2022,regular,2022/2/20,14:00,Stade du Moustoir,10135,Lorient,Montpellier,Jeremy Stinat,0,0,0,1,6.49,6.83,16,6,0,0,3,5,8,1,5,0,47.5,52.5,621,671,81,84,426,480,345,402,14,4,17,9,21,12,9,17,81,75,19,15,56,44,20,14,14,20,9,11,18,28,9,17,50,39,13,12,8,8,8,5,25,40,7,6,0,0,15,9,1,2,yellow-card(31);yellow-card(47);yellow-card(91),goal(56);yellow-card(60);yellow-card(61)
2021/2022,regular,2022/2/20,14:00,Stade Geoffroy-Guichard,24897,Saint-Etienne,Strasbourg,Antony Gautier,2,2,2,2,6.42,6.50,9,8,0,0,4,4,3,4,2,0,51.2,48.8,601,590,76,78,435,415,330,322,5,7,7,4,17,5,4,7,41,80,20,16,56,44,21,15,15,21,8,18,12,25,4,7,67,72,19,12,11,8,3,4,33,25,8,7,1,0,12,6,0,4,goal(4);error-to-goal(21);goal(34);yellow-card(46);yellow-card(50);yellow-card(95),yellow-card(17);goal(21);goal(30);yellow-card(66)
2021/2022,regular,2022/2/20,14:00,Stade Auguste-Delaune II,9307,Reims,Brest,Hakim Ben El Hadj,1,1,1,1,6.58,6.40,8,15,1,2,2,4,4,7,2,4,43.7,56.3,523,591,77,80,322,409,249,327,8,7,3,7,6,20,7,3,50,35,11,17,39,61,11,17,17,11,24,9,31,12,7,3,77,75,18,7,13,7,1,6,100,33,6,11,0,0,10,17,6,0,goal(4);shot-on-post(12);penalty_saved(53);clearance-off-the-line(53);yellow-card(65),goal(34);penalty-missed(53);yellow-card(57);shot-on-post(61);shot-on-post(67);yellow-card(87)
2021/2022,regular,2022/2/20,14:00,Roazhon Park,22967,Rennes,Troyes,Clément Turpin,2,1,4,1,6.97,6.03,17,4,0,0,8,1,4,3,5,0,63,37,727,479,89,78,554,310,491,243,13,1,5,5,7,13,5,5,71,38,7,6,54,46,12,1,1,12,10,16,15,21,5,5,67,76,19,12,10,10,6,7,67,14,14,2,0,0,11,16,3,1,yellow-card(12);goal(14);goal(20);goal(75);penalty_scored(87),goal(39);yellow-card(49);yellow-card(53);yellow-card(85);yellow-card(91)
2021/2022,regular,2022/2/20,16:05,Matmut Atlantique,29557,Bordeaux,Monaco,Jeremie Pignard,1,0,1,1,6.68,6.37,11,13,0,0,3,4,6,5,2,4,47,53,614,672,79,82,414,463,329,379,8,9,4,22,11,35,22,4,36,63,16,7,70,30,7,16,16,7,29,12,51,16,22,4,57,75,33,7,17,7,2,7,50,29,5,16,0,1,13,13,2,1,goal(22);yellow-card(41);yellow-card(46);yellow-card(56),error-to-goal(22);second-yellow(34);yellow-card(34);yellow-card(38);own-goal(67);yellow-card(78)
2021/2022,regular,2022/2/20,19:45,Stade Vélodrome,53840,Marseille,Clermont Foot,Willy Delajod,0,1,0,2,6.26,7.08,18,4,0,0,4,3,6,1,8,0,64.7,35.3,896,576,91,86,737,405,672,348,13,4,5,4,19,6,4,5,26,67,8,8,50,50,9,7,7,9,13,22,17,27,4,5,76,81,2,25,7,18,8,3,13,67,8,11,0,0,11,9,0,4,yellow-card(39);yellow-card(68);yellow-card(75),goal(13);yellow-card(68);goal(84);yellow-card(88)
2021/2022,regular,2022/2/11,20:00,Parc des Princes,47000,PSG,Rennes,Benoît Bastien,0,0,1,0,6.74,6.34,12,13,0,0,1,1,6,7,5,5,63.8,36.2,861,553,92,83,701,392,644,324,11,10,16,7,24,10,7,16,67,70,10,7,59,41,3,14,14,3,7,22,14,38,7,16,50,58,6,14,7,6,5,3,80,100,14,4,0,0,13,10,3,3,yellow-card(41);yellow-card(89);goal(93),yellow-card(90)
2021/2022,regular,2022/2/12,16:00,Stade de la Mosson,11784,Montpellier,Lille,Stéphanie Frappart,0,0,0,1,6.38,6.96,16,16,0,0,5,7,5,7,6,2,56.3,43.7,653,551,81,77,453,348,368,268,11,10,7,7,11,13,7,7,64,54,14,24,37,63,15,23,23,15,9,18,16,25,7,7,56,72,14,27,5,4,6,4,67,100,14,3,0,1,13,15,2,0,yellow-card(46);yellow-card(83);yellow-card(87),yellow-card(18);yellow-card(22);yellow-card(45);yellow-card(64);goal(77)
2021/2022,regular,2022/2/12,20:00,Groupama Stadium,41974,Lyon,Nice,Benoît Millot,1,0,2,0,7.10,6.19,12,1,0,0,8,1,2,0,2,0,60.2,39.8,894,644,88,80,697,463,614,372,8,1,14,7,22,17,7,14,64,41,9,6,60,40,10,5,5,10,20,17,27,31,7,14,74,55,6,14,20,15,4,1,75,0,9,10,0,0,11,9,3,0,penalty_scored(8);goal(52),clearance-off-the-line(41);yellow-card(50)
2021/2022,regular,2022/2/13,12:00,Stade Louis II,3963,Monaco,Lorient,Bastien Dechepy,0,0,0,0,6.68,6.59,15,5,0,0,4,1,9,3,2,1,65,35,726,501,79,65,514,294,405,191,11,4,10,3,16,7,3,10,63,43,25,13,66,34,15,23,23,15,16,15,19,25,3,10,84,60,3,42,16,7,11,2,27,50,9,12,0,0,18,11,2,0,yellow-card(45);yellow-card(73);yellow-card(89),yellow-card(37);yellow-card(81)
2021/2022,regular,2022/2/13,14:00,La Beaujoire-Louis-Fonteneau,14304,Nantes,Reims,Johan Hamel,1,0,1,0,6.87,6.36,11,7,0,0,3,4,5,2,3,1,60.4,39.6,753,578,87,77,584,389,506,300,8,7,8,11,17,17,11,8,47,65,15,10,60,40,8,17,17,8,15,16,26,24,11,8,58,67,12,17,8,9,5,5,40,40,7,9,0,0,17,8,1,1,goal(17);clearance-off-the-line(47);yellow-card(53),red-card(14);yellow-card(14)
2021/2022,regular,2022/2/13,14:00,Stade Raymond-Kopa,6521,Angers,Strasbourg,Pierre Gaillouste,0,1,0,1,6.46,6.83,9,8,0,0,2,2,7,5,0,1,64.2,35.8,864,555,88,71,628,352,550,250,7,4,18,4,28,11,4,18,64,36,16,13,55,45,10,19,19,10,15,33,19,51,4,18,79,65,15,16,13,14,5,3,20,33,23,8,0,0,20,11,1,6,yellow-card(29);yellow-card(68);yellow-card(83),goal(11);yellow-card(40)
2021/2022,regular,2022/2/13,14:00,Stade Francis-Le Blé,10600,Brest,Troyes,Florent Batta,2,1,5,1,7.37,5.92,12,5,0,0,5,2,3,3,4,0,58.2,41.8,711,557,82,79,519,351,426,278,11,3,11,10,19,19,10,11,58,53,8,4,67,33,7,5,5,7,17,16,27,27,10,11,63,59,16,11,14,11,1,5,0,0,8,8,0,1,13,11,0,4,goal(7);yellow-card(15);goal(27);goal(49);yellow-card(66);goal(67);goal(82),error-to-goal(27);yellow-card(43);goal(45)
2021/2022,regular,2022/2/13,14:00,Stade Gabriel-Montpied,12131,Clermont Foot,Saint-Etienne,Ruddy Buquet,1,0,1,2,6.30,6.65,9,6,0,0,3,3,5,2,1,1,46.4,53.6,613,684,71,74,408,474,289,351,5,5,6,10,14,16,10,6,43,63,16,10,62,38,13,13,13,13,14,21,24,27,10,6,58,78,7,8,16,17,6,3,33,67,13,8,0,0,16,10,1,1,yellow-card(19);goal(39);yellow-card(51);yellow-card(91);yellow-card(95),yellow-card(16);goal(71);goal(82)
2021/2022,regular,2022/2/13,16:05,Stade Félix Bollaert-Delélis,32662,Lens,Bordeaux,François Letexier,3,1,3,2,6.73,6.54,9,10,0,0,7,5,2,3,0,2,43.3,56.7,617,744,79,83,415,548,329,456,7,6,11,7,19,12,7,11,58,58,9,13,41,59,12,10,10,12,14,21,21,32,7,11,67,66,21,24,11,13,6,2,33,50,13,9,1,1,9,7,0,0,goal(10);penalty_scored(22);goal(26);error-to-goal(33);yellow-card(45);yellow-card(61);yellow-card(82);yellow-card(88);clearance-off-the-line(95),goal(33);goal(53);yellow-card(54);yellow-card(61)
2021/2022,regular,2022/2/13,19:45,Stade Saint-Symphorien,25482,Metz,Marseille,Eric Wattellier,0,1,1,2,6.48,6.67,11,13,0,0,4,5,5,6,2,2,45.3,54.7,568,644,82,83,399,477,328,398,9,9,9,6,12,10,6,9,75,60,10,13,43,57,13,10,10,13,13,15,19,24,6,9,68,63,21,13,12,8,3,8,67,50,12,9,0,0,11,6,1,0,yellow-card(19);yellow-card(46);goal(52),goal(26);yellow-card(71);goal(82);yellow-card(87)
2021/2022,regular,2022/2/01,20:00,Groupama Stadium,0,Lyon,Marseille,Benoît Bastien,0,1,2,1,6.74,6.38,12,9,0,0,4,1,6,5,2,3,54.5,45.5,786,673,88,85,613,510,537,436,7,4,5,6,12,13,6,5,42,46,9,5,64,36,9,5,5,9,21,19,27,24,6,5,78,79,13,14,7,9,4,6,50,17,12,14,0,1,8,8,3,2,goal(76);goal(89),goal(10)
2021/2022,regular,2022/2/04,20:00,Stade Vélodrome,60000,Marseille,Angers,Jeremy Stinat,2,2,5,2,6.95,6.17,18,4,0,0,8,2,7,1,3,1,59.6,40.4,733,555,88,84,577,398,509,334,13,3,7,12,12,18,12,7,58,67,7,10,41,59,10,7,7,10,13,12,25,19,12,7,52,63,2,12,9,13,6,2,67,100,7,7,1,1,13,13,5,6,error-to-goal(8);goal(18);goal(21);goal(70);goal(78);goal(85),goal(8);goal(11);yellow-card(53);yellow-card(76);yellow-card(89)
2021/2022,regular,2022/2/05,16:00,Stade Geoffroy-Guichard,20000,Saint-Etienne,Montpellier,Thomas Leonard,0,1,3,1,6.86,6.33,27,3,0,0,8,2,9,0,10,1,60.6,39.4,759,567,87,78,556,383,483,298,20,1,14,2,22,6,2,14,64,33,13,12,52,48,14,11,11,14,11,14,13,28,2,14,85,50,6,40,6,6,11,0,18,0,6,7,0,2,11,4,1,1,yellow-card(16);goal(82);goal(90);goal(93),goal(11)
