VENUE,CAPACITY,MANUAL_ENTRY
Stade de Gerland,25000,False
Stade de la Libération,6,False
Stade Felix-Bollaert,38223,False
Stade du Moustoir,18110,False
Stade Vélodrome,67394,False
Stade Marcel Picot,20087,False
Municipal du Ray,17415,False
Parc des Princes,47929,False
Stade Bonal,20025,False
Stadium Municipal,8400,False
Stade de la Lib�ration,9534,False
"Parc Municipal des Sports, Toulouse",33150,False
Stade Abbe-Deschamps,18541,False
Stade Jacques-Chaban-Delmas,42115,False
Stade des Alpes,20068,False
Leon-Bollée,17801,False
Stadium Lille M�tropole,50186,False
Stade Louis II,16360,False
Stade de la Mosson,20484,False
Stade de la Route-de-Lorient,29778,False
Stade Geoffroy-Guichard,41965,False
Stade Nungesser,16457,False
Stade de l'Abbé-Deschamps,18541,False
Stade Jacques Chaban-Delmas,42115,False
Leon-Boll�e,0,False
Stade Marcel-Picot,20087,False
Stade V�lodrome,67394,False
Stade Municipal du Ray,17415,False
Stadium Lille Métropole,18154,False
Stade Fernaud Fournier,0,True
Stade Francis Le Ble,15931,False
Stade Michel-d'Ornano,20300,False
Stade Abbé-Deschamps,18541,False
"Parc des Sports, Annecy",15660,False
Stade du Hainaut,25172,False
Stade Francois-Coty,10446,False
Stade Francis-le Blé,15931,False
Stade Gaston Gérard,15995,False
Stade du Ray,17415,False
Stade Armand-Cesari-Furiani,16048,False
Stade Pierre-Mauroy,50186,False
Stade Auguste Delaune II,21029,False
Stade de l'Aube,20400,False
Grand Stade Lille Métropole,50186,False
Stade Jean-Laville,13,False
Stade Auguste-Delaune,21029,False
Allianz Riviera,36178,False
La Beaujoire-Louis-Fonteneau,35322,False
Stade Municipal de Roudourou,19033,False
Parc des Sports,17518,False
Stade François-Coty,10446,False
Stade Pierre Mauroy,50186,False
Allianz Arena,75024,False
Stade Parsemain,12500,False
Roazhon Park,29778,False
Nouveau Stade Bordeaux,42115,False
Stade de la Licorne,12097,False
Stade Saint-Symphorien,30000,False
Stade Armand-Cesari,16048,False
Stade de France,30680,False
Altrad Stadium,15697,False
"Stadium Municipal, Toulouse",33150,False
MMArena,25064,False
Matmut Atlantique,42115,False
Stade Jean-Bouin,20000,False
Parc OL,59186,False
Stade Ange-Casanova,8000,False
Stade Raymond-Kopa,18752,False
Groupama Stadium,59186,False
Stade Gaston-Gérard,15995,False
Stade de la Meinau,26109,False
Stade Océane,25178,False
Stade des Costières,18364,False
Stade Francis-Le Blé,15931,False
Stade Félix Bollaert-Delélis,38223,False
Stade Auguste-Delaune II,21029,False
Stade Gabriel-Montpied,12678,False
