Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2018,Major League Soccer,2018/10/28,20:30,StubHub Center,27068,L.A. Galaxy,Houston,Kevin Stott,2,0,2,3,6.63,6.83,18,12,0,0,7,4,8,6,3,2,55.2,44.8,649,563,86,84,462,374,399,313,12,9,5,9,10,17,9,5,50,53,18,9,67,33,16,11,11,16,20,11,29,16,9,5,69,69,13,36,10,11,11,4,36,0,6,12,1,0,11,11,5,1,goal(27);goal(30),goal(58);penalty_scored(73);goal(79);yellow-card(89);yellow-card(94);second-yellow(98)
2018,Major League Soccer,2018/10/28,20:30,Red Bull Arena,20023,New York,Orlando City,Ismail Elfath,0,0,1,0,6.93,6.76,13,8,0,0,4,1,5,6,4,1,45.8,54.2,604,684,68,70,357,437,242,304,7,6,8,17,19,25,17,8,42,68,19,17,53,47,17,19,19,17,33,23,50,31,17,8,66,74,21,20,13,20,4,3,0,33,12,25,0,0,14,12,2,2,penalty-missed(15);goal(53);yellow-card(74),penalty_saved(15);yellow-card(45)
2018,Major League Soccer,2018/10/28,20:30,CenturyLink Field,42617,Seattle,San Jose,Hilario Grajeda,0,0,2,1,6.94,6.44,17,7,1,0,6,3,7,3,4,1,58.2,41.8,757,605,84,80,554,409,464,329,13,5,8,8,17,12,8,8,47,67,16,7,70,30,11,12,12,11,16,14,24,22,8,8,67,64,16,26,13,18,12,2,58,0,5,12,1,1,9,15,3,1,shot-on-post(26);goal(79);goal(93);yellow-card(94),yellow-card(53);own-goal(64)
2018,Major League Soccer,2018/10/28,20:30,Children's Mercy Park,20702,Kansas City,Los Angeles FC,Allen Chapman,1,0,2,1,6.79,6.47,8,16,0,0,7,3,1,7,0,6,43.9,56.1,530,633,73,80,358,444,261,353,5,12,9,8,14,15,8,9,64,53,9,15,38,63,15,9,9,15,14,15,22,24,8,9,64,63,28,15,16,8,2,4,50,0,10,7,0,0,13,12,0,1,yellow-card(14);goal(37);clearance-off-the-line(59);red-card(62);yellow-card(70);goal(72);yellow-card(91),yellow-card(8);penalty_scored(63)
2018,Major League Soccer,2018/10/28,20:30,Gillette Stadium,28832,New England,Montreal,Armando Villarreal,0,0,1,0,7.06,6.47,16,12,0,0,3,4,11,4,2,4,52,48,653,622,80,77,447,405,358,313,12,8,10,8,16,19,8,10,63,42,20,16,56,44,20,16,16,20,24,11,32,21,8,10,75,52,28,15,13,15,4,5,100,40,5,13,1,0,16,8,2,6,yellow-card(69);goal(74);yellow-card(75);yellow-card(83);yellow-card(89),yellow-card(92)
2018,Major League Soccer,2018/10/28,20:30,BMO Field,23895,Toronto,Atlanta United,Jair Marrufo,2,0,4,1,7.18,6.23,10,17,1,2,7,2,3,13,0,2,43.3,56.7,593,731,73,80,417,537,306,430,6,14,10,7,14,15,7,10,71,47,11,12,48,52,10,13,13,10,14,16,21,26,7,10,67,62,22,7,11,18,1,3,100,33,12,6,1,1,10,11,4,4,goal(9);goal(21);shot-on-post(62);goal(83);goal(88),error-to-goal(9);shot-on-post(41);shot-on-post(70);penalty_scored(77)
2018,Major League Soccer,2018/10/28,20:30,Yankee Stadium,26441,New York City FC,Philadelphia,Alan Kelly,3,1,3,1,7.17,6.51,16,9,0,0,7,5,5,3,4,1,54.7,45.3,738,659,84,78,560,454,468,354,13,7,4,14,9,26,14,4,44,54,6,14,30,70,7,13,13,7,23,10,37,14,14,4,62,71,23,14,28,21,7,7,71,71,5,11,0,0,14,10,1,1,goal(8);own-goal(10);goal(34);penalty_saved(60),goal(14);yellow-card(16);yellow-card(40);penalty-missed(60);yellow-card(67)
2018,Major League Soccer,2018/10/28,20:30,SeatGeek Stadium,19459,Chicago,DC United,Nima Saghafi,0,0,0,0,6.63,6.77,11,9,0,0,2,1,2,6,7,2,55.5,44.5,602,542,80,75,414,342,332,255,11,5,5,9,7,14,9,5,71,64,12,17,41,59,12,17,17,12,23,8,32,13,9,5,72,62,18,28,14,9,12,4,17,75,6,18,1,0,19,13,1,0,yellow-card(54);yellow-card(79),
2018,Major League Soccer,2018/10/28,20:30,Dick's Sporting Goods Park,15172,Colorado,FC Dallas,Chris Penso,0,1,2,1,6.73,6.53,9,10,0,0,2,4,4,3,3,3,60.4,39.6,779,578,87,85,620,407,542,344,9,8,5,4,11,8,4,5,45,50,13,13,50,50,12,14,14,12,18,21,22,26,4,5,82,81,10,21,4,12,2,4,50,50,15,14,2,0,13,8,2,3,yellow-card(64);yellow-card(66);goal(80);goal(84);clearance-off-the-line(87),goal(18)
2018,Major League Soccer,2018/10/28,20:30,BC Place,25348,Vancouver,Portland,Ted Unkel,2,0,2,1,6.88,6.59,13,12,1,0,5,5,7,7,1,0,59,41,697,530,84,74,485,328,405,244,10,10,7,7,17,16,7,7,41,44,17,16,52,48,15,18,18,15,21,24,28,31,7,7,75,77,20,19,14,19,6,3,50,67,14,12,0,1,9,9,4,0,goal(28);goal(31);shot-on-post(69);yellow-card(82),yellow-card(27);error-to-goal(31);goal(90)
