Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020,Major League Soccer Championship Playoff,2020/8/12,01:30,ESPN Wide World of Sports Complex,0,Portland,Orlando City,Ismail Elfath,1,1,2,1,6.67,6.34,13,14,0,0,6,1,2,6,5,7,36,64,444,658,78,89,284,503,222,448,8,12,8,6,9,9,6,8,89,67,5,14,26,74,12,7,7,12,10,6,16,14,6,8,63,43,19,11,10,9,5,3,40,33,5,7,0,0,15,17,1,1,goal(27);yellow-card(44);goal(66);yellow-card(70);yellow-card(73),goal(39);yellow-card(47);yellow-card(63);yellow-card(73);yellow-card(85)
2020,Major League Soccer Championship Playoff,2020/8/06,01:00,ESPN Wide World of Sports Complex,0,Philadelphia,Portland,Allen Chapman,0,1,1,2,6.56,6.77,17,15,0,0,8,7,8,5,1,3,61.3,38.7,681,507,83,73,491,311,409,228,10,13,11,9,29,13,9,11,38,69,25,9,74,26,18,16,16,18,11,27,20,38,9,11,55,71,7,25,9,7,4,5,100,60,9,7,1,0,16,5,1,1,yellow-card(38);penalty-missed(47);yellow-card(62);goal(85),goal(13);goal(70)
2020,Major League Soccer Championship Playoff,2020/8/07,01:00,ESPN Wide World of Sports Complex,0,Orlando City,Minnesota United,Drew Fischer,2,0,3,1,6.79,6.29,7,17,0,0,4,3,3,8,0,6,49.8,50.2,635,608,84,80,460,432,386,346,6,11,5,8,9,18,8,5,56,44,12,20,38,63,9,23,23,9,16,10,24,15,8,5,67,67,27,6,15,9,3,13,100,38,6,6,0,0,12,7,2,1,goal(36);goal(42);goal(96),goal(83)
2020,Major League Soccer Championship Playoff,2020/7/27,01:30,ESPN Wide World of Sports Complex,0,Toronto,New York City FC,Alex Chilowicz,0,1,1,3,6.38,6.82,12,11,0,1,2,7,5,4,5,0,55.6,44.4,716,626,81,75,491,405,398,303,11,10,17,7,25,10,7,17,68,70,12,9,57,43,8,13,13,8,15,21,22,38,7,17,68,55,9,24,14,11,8,3,63,67,13,12,0,0,15,10,1,6,yellow-card(15);yellow-card(83);goal(87),goal(5);yellow-card(12);goal(55);yellow-card(66);goal(81);shot-on-post(91)
2020,Major League Soccer Championship Playoff,2020/7/27,04:00,ESPN Wide World of Sports Complex,0,Kansas City,Vancouver,Victor Rivas,0,0,0,0,6.96,6.76,37,8,0,0,8,5,22,1,7,3,62.9,37.1,687,505,83,71,470,290,389,207,28,4,9,11,17,15,11,9,53,73,17,19,47,53,20,16,16,20,13,12,24,21,11,9,54,57,7,32,12,10,12,4,67,0,4,9,0,0,10,7,2,3,yellow-card(9),yellow-card(47);yellow-card(59)
2020,Major League Soccer Championship Playoff,2020/7/28,01:30,ESPN Wide World of Sports Complex,0,San Jose,Salt Lake,Drew Fischer,1,1,5,2,7.06,6.21,19,11,0,0,8,5,7,4,4,2,60.2,39.8,661,475,84,76,461,298,386,225,13,9,11,12,17,22,12,11,65,55,17,18,49,51,8,27,27,8,19,16,31,27,12,11,61,59,28,13,10,11,6,4,50,0,10,9,0,0,9,19,1,0,goal(21);yellow-card(31);penalty_scored(49);goal(61);goal(86);penalty_scored(96),goal(22);yellow-card(29);yellow-card(37);yellow-card(66);goal(75);red-card(84);red-card(97)
2020,Major League Soccer Championship Playoff,2020/7/28,04:00,ESPN Wide World of Sports Complex,0,Seattle,Los Angeles FC,Jair Marrufo,0,2,1,4,6.21,7.03,11,23,0,0,4,8,4,10,3,5,59.6,40.4,719,582,80,82,506,347,406,285,6,16,8,9,20,22,9,8,40,41,9,12,43,57,10,11,11,10,23,21,32,29,9,8,72,72,13,36,16,10,5,2,20,50,9,10,2,1,11,13,0,5,goal(75);error-to-goal(82);error-to-goal(89),penalty_scored(14);goal(39);goal(82);goal(89)
2020,Major League Soccer Championship Playoff,2020/7/29,01:00,ESPN Wide World of Sports Complex,0,Columbus,Minnesota United,Allen Chapman,0,1,1,1,6.63,6.87,20,12,0,0,5,4,10,6,5,2,64.5,35.5,807,514,89,77,608,336,542,260,14,9,14,9,23,14,9,14,61,64,9,11,45,55,8,12,12,8,17,15,26,29,9,14,65,52,9,17,9,20,5,4,40,75,6,12,0,0,8,11,2,2,penalty-missed(79);goal(79);yellow-card(84),goal(18);penalty_saved(79)
2020,Major League Soccer Championship Playoff,2020/7/29,03:30,ESPN Wide World of Sports Complex,0,Portland,FC Cincinnati,Armando Villarreal,0,0,1,1,6.63,6.60,19,12,1,0,8,5,6,5,5,2,55.6,44.4,674,607,90,86,501,424,451,364,13,11,10,10,19,14,10,10,53,71,10,10,50,50,13,7,7,13,8,13,18,23,10,10,44,57,7,26,5,13,10,0,40,0,4,4,1,0,18,7,0,3,yellow-card(18);yellow-card(29);goal(67);error-to-goal(79);shot-on-post(85),yellow-card(31);yellow-card(46);penalty_scored(81);yellow-card(90)
2020,Major League Soccer Championship Playoff,2020/7/31,01:00,ESPN Wide World of Sports Complex,0,Philadelphia,Kansas City,Ramy Touchan,3,1,3,1,6.97,6.26,7,16,0,1,3,7,2,4,2,5,42.5,57.5,523,639,76,84,343,448,259,376,5,12,7,9,11,21,9,7,64,43,23,18,56,44,23,18,18,23,18,12,27,19,9,7,67,63,21,8,7,8,1,7,100,43,8,6,0,1,18,16,2,3,goal(24);yellow-card(25);goal(26);goal(39);yellow-card(53),error-to-goal(26);goal(46);shot-on-post(49);yellow-card(71)
