Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021,Major League Soccer Playoff,2021/12/11,20:00,Providence Park,25218,Portland,New York City FC,Armando Villarreal,0,1,1,1,6.84,7.06,19,13,0,0,5,7,6,4,8,2,47.9,52.1,919,983,76,79,617,692,472,547,14,9,14,6,29,11,6,14,48,55,26,18,59,41,21,23,23,21,21,24,27,38,6,14,78,63,22,53,19,12,6,4,33,50,9,16,0,0,16,18,3,1,yellow-card(59);yellow-card(90);goal(94),goal(41);yellow-card(80);yellow-card(88);yellow-card(91)
2021,Major League Soccer Playoff,2021/12/01,00:30,Gillette Stadium,25509,New England,New York City FC,Drew Fischer,1,1,1,1,6.66,6.96,15,16,0,1,4,4,8,9,3,3,42.7,57.3,688,849,76,80,428,606,324,483,13,14,4,14,19,29,14,4,21,48,19,11,63,37,11,19,19,11,18,24,32,28,14,4,56,86,18,31,10,8,4,4,75,75,9,3,1,0,22,19,0,2,goal(9);yellow-card(27);yellow-card(54);goal(118),goal(3);yellow-card(58);shot-on-post(64);yellow-card(84);goal(109);second-yellow(113)
2021,Major League Soccer Playoff,2021/12/04,23:30,Providence Park,0,Portland,Salt Lake,Alan Kelly,1,0,2,0,6.99,6.36,14,7,0,0,7,3,6,4,1,0,51,49,606,598,80,80,432,405,344,322,11,6,7,10,17,17,10,7,41,59,13,23,36,64,16,20,20,16,17,13,27,20,10,7,63,65,18,19,10,13,7,3,29,0,3,10,0,0,11,17,0,2,goal(5);goal(61);yellow-card(61),clearance-off-the-line(68);second-yellow(79);yellow-card(93)
2021,Major League Soccer Playoff,2021/12/05,20:00,Subaru Park,19487,Philadelphia,New York City FC,Ted Unkel,0,0,1,2,6.39,6.70,8,11,0,0,3,5,4,5,1,1,35,65,488,753,69,81,303,575,209,468,6,10,7,7,14,15,7,7,50,47,21,19,53,48,24,16,16,24,21,13,28,20,7,7,75,65,12,15,10,7,3,2,67,50,6,13,1,0,11,16,4,2,own-goal(63);yellow-card(71);yellow-card(75);error-to-goal(88),yellow-card(41);goal(65);goal(88)
2021,Major League Soccer Playoff,2021/11/24,01:00,"Nissan Stadium, Nashville",26043,Nashville SC,Orlando City,Ismail Elfath,1,1,3,1,6.89,6.20,9,9,0,0,6,2,1,4,2,3,45.6,54.4,541,608,79,81,373,441,296,358,8,7,6,5,10,11,5,6,60,45,21,17,55,45,16,22,22,16,14,8,19,14,5,6,74,57,30,12,12,8,0,5,0,20,4,8,0,0,16,15,2,2,goal(21);goal(74);yellow-card(85);goal(94),goal(14);yellow-card(38);yellow-card(65)
2021,Major League Soccer Playoff,2021/11/24,03:30,Lumen Field,34012,Seattle,Salt Lake,Joseph Dickerson,0,0,0,0,6.91,7.04,21,0,1,0,3,0,8,0,10,0,62.1,37.9,1009,729,77,69,711,459,548,315,15,0,20,9,35,22,9,20,57,41,42,28,60,40,30,39,40,31,17,28,26,48,9,20,65,58,17,53,7,22,15,1,7,0,13,4,0,0,11,18,3,0,yellow-card(53);shot-on-post(73);yellow-card(108),yellow-card(50);yellow-card(72);yellow-card(82)
2021,Major League Soccer Playoff,2021/11/25,21:30,Dick's Sporting Goods Park,17438,Colorado,Portland,Ted Unkel,0,0,0,1,6.57,6.66,10,12,0,0,3,4,4,6,3,2,55.1,44.9,622,522,85,79,440,369,374,293,9,10,8,5,14,9,5,8,57,56,25,9,74,26,21,13,13,21,9,10,14,18,5,8,64,56,16,21,17,11,6,5,50,40,4,5,0,0,8,10,3,0,clearance-off-the-line(65),yellow-card(45);goal(90);red-card(94)
2021,Major League Soccer Playoff,2021/11/28,20:00,Children's Mercy Park,21650,Kansas City,Salt Lake,Kevin Stott,1,0,1,2,6.51,6.74,5,11,0,0,2,5,1,5,2,1,44.4,55.6,548,645,75,79,373,464,281,367,1,7,6,4,17,9,4,6,35,44,26,22,54,46,24,24,24,24,17,18,21,24,4,6,81,75,21,23,14,9,4,5,25,0,7,12,1,0,18,14,0,0,penalty_scored(24),yellow-card(49);goal(72);goal(91)
2021,Major League Soccer Playoff,2021/11/28,22:30,Subaru Park,19076,Philadelphia,Nashville SC,Allen Chapman,1,1,1,1,6.71,6.60,24,14,0,0,2,3,12,6,10,5,50.4,49.6,770,766,76,77,523,524,397,402,12,9,5,15,9,21,15,5,56,71,27,28,49,51,35,20,20,35,17,14,32,19,15,5,53,74,15,36,12,7,11,8,27,38,10,11,0,0,16,24,1,1,goal(47),goal(38);yellow-card(95)
2021,Major League Soccer Playoff,2021/11/20,19:30,Subaru Park,18623,Philadelphia,New York,Fotis Bazakos,0,0,0,0,6.96,6.53,13,11,0,1,3,1,7,5,3,5,46,54,704,774,59,68,412,483,242,329,8,7,11,6,24,18,6,11,46,33,29,40,42,58,36,33,33,36,25,27,31,38,6,11,81,71,29,38,9,10,4,7,25,43,14,13,0,0,10,22,6,0,yellow-card(74);goal(123),yellow-card(15);yellow-card(51);yellow-card(52);yellow-card(79);shot-on-post(112)
