Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2018/2019,regular,2019/5/16,18:30,Estádio do Jamor,942,Belenenses SAD,Nacional,Vitor Jorge Fernandes Ferreira,1,0,3,0,7.27,6.20,8,18,0,0,5,4,2,9,1,5,50.8,49.2,560,558,78,78,375,353,291,276,5,12,4,6,12,14,6,4,33,43,12,16,43,57,11,17,17,11,21,13,27,17,6,4,78,76,19,10,14,13,5,6,80,17,5,13,0,0,18,14,4,3,goal(15);yellow-card(36);goal(47);goal(79);yellow-card(92),yellow-card(78);yellow-card(83);yellow-card(88)
2018/2019,regular,2019/5/17,20:30,Estádio Municipal de Braga,6541,Braga,Portimonense,João Capela,1,0,2,0,7.09,6.27,13,7,0,0,7,1,4,5,2,1,51,49,626,611,80,79,440,425,352,336,9,5,11,8,14,17,8,11,79,47,18,17,51,49,17,18,18,17,18,12,26,23,8,11,69,52,12,16,8,16,5,3,20,33,9,9,0,0,17,25,3,0,goal(12);yellow-card(28);penalty_scored(56),yellow-card(27);yellow-card(46)
2018/2019,regular,2019/5/18,15:30,Estádio do Bonfim,6109,Vitoria de Setubal,Rio Ave,Claudio Pereira,0,0,1,3,6.33,6.91,9,15,0,0,4,7,5,5,0,3,35.7,64.3,456,679,73,84,266,490,193,411,5,10,6,14,10,23,14,6,60,61,14,16,47,53,23,7,7,23,21,10,35,16,14,6,60,63,21,18,14,3,4,7,50,57,6,12,2,1,18,18,1,0,error-to-goal(50);goal(53);yellow-card(75);error-to-goal(93),goal(50);yellow-card(69);yellow-card(77);goal(91);goal(93)
2018/2019,regular,2019/5/18,15:30,Estádio Marcolino de Castro,1772,Feirense,Aves,Andre Narciso,0,1,2,1,6.88,6.70,17,15,0,0,8,4,5,9,4,2,58,42,628,539,76,73,445,329,337,240,11,9,9,8,14,14,8,9,64,57,25,17,60,40,26,16,16,26,15,20,23,29,8,9,65,69,12,25,11,9,5,4,80,100,15,9,1,0,20,14,1,3,yellow-card(41);goal(62);yellow-card(74);goal(76);yellow-card(90),clearance-off-the-line(13);clearance-off-the-line(13);goal(31);yellow-card(83)
2018/2019,regular,2019/5/18,15:30,Estádio dos Barreiros,4795,Maritimo,Boavista,João Malheiro Pinto,0,1,0,1,6.56,6.93,17,9,1,0,5,3,9,3,3,3,64,36,670,458,80,64,464,267,371,171,12,7,8,6,22,9,6,8,36,67,34,19,64,36,19,34,34,19,17,25,23,33,6,8,74,76,10,24,4,7,7,3,29,0,11,14,0,0,17,16,1,1,yellow-card(21);shot-on-post(72),yellow-card(23);goal(30);yellow-card(65);yellow-card(89)
2018/2019,regular,2019/5/18,18:30,Estádio da Luz,64064,Benfica,Santa Clara,Jorge Sousa,3,0,4,1,7.17,6.35,21,17,0,2,8,3,10,12,3,2,49.1,50.9,645,674,85,86,471,476,400,410,17,7,6,9,14,16,9,6,43,56,13,9,59,41,6,16,16,6,14,19,23,25,9,6,61,76,25,20,10,12,4,8,50,38,11,7,1,0,10,3,3,1,goal(16);goal(23);goal(39);goal(56),shot-on-post(59);goal(59);yellow-card(71);shot-on-post(86)
2018/2019,regular,2019/5/18,18:30,Estádio do Dragão,39808,Porto,Sporting,Fábio Veríssimo,0,0,2,1,7.03,6.53,28,2,1,0,8,1,11,1,9,0,61.5,38.5,556,427,85,73,373,250,316,182,25,2,14,4,21,12,4,14,67,33,25,21,54,46,25,21,21,25,19,10,23,24,4,14,83,42,2,37,10,10,17,1,59,100,3,11,0,0,18,11,4,0,yellow-card(49);shot-on-post(73);yellow-card(74);goal(78);yellow-card(86);goal(87);yellow-card(89);red-card(89),red-card(19);yellow-card(43);yellow-card(49);goal(61);clearance-off-the-line(85);clearance-off-the-line(85);yellow-card(91);yellow-card(92)
2018/2019,regular,2019/5/19,17:30,Estádio João Cardoso,4985,Tondela,Chaves,João Pinheiro,4,2,5,2,7.32,6.25,13,18,0,0,7,5,4,9,2,4,45.6,54.4,466,511,58,65,278,329,161,213,10,15,4,6,8,8,6,4,50,75,42,43,49,51,35,50,50,35,13,8,19,12,6,4,68,67,44,24,5,6,6,3,17,67,4,11,0,1,19,27,2,1,goal(4);goal(9);yellow-card(11);goal(16);goal(28);yellow-card(39);yellow-card(66);yellow-card(70);yellow-card(73);goal(77),error-to-goal(16);goal(38);yellow-card(41);goal(47);yellow-card(82);yellow-card(87)
2018/2019,regular,2019/5/19,20:00,Estádio Comendador Joaquim de Almeida Freitas,4185,Moreirense,Vitoria de Guimaraes,Carlos Xistra,1,1,1,3,6.31,7.01,16,14,0,0,6,6,5,7,5,1,42.8,57.2,511,658,69,81,316,448,218,362,9,10,6,6,13,20,6,6,46,30,16,21,43,57,21,16,16,21,20,13,26,19,6,6,77,68,10,32,13,7,12,2,25,0,6,6,0,1,23,16,1,0,yellow-card(9);goal(15);yellow-card(46);yellow-card(60),goal(20);yellow-card(25);goal(68);yellow-card(70);goal(95)
2018/2019,regular,2019/5/06,20:15,Estádio do Bonfim,5830,Vitoria de Setubal,Boavista,Fábio Veríssimo,0,0,0,3,5.91,7.20,7,13,0,0,1,4,6,7,0,2,50.3,49.7,494,529,69,77,339,346,233,267,5,11,4,11,9,12,11,4,44,92,29,22,57,43,29,22,22,29,10,11,21,15,11,4,48,73,7,24,7,9,6,3,33,100,6,9,0,0,17,21,0,2,red-card(67);yellow-card(71);red-card(71);second-yellow(73),goal(70);yellow-card(86);goal(90);yellow-card(101);goal(102)
