Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020/2021,Primeira Liga,2021/5/18,20:15,Estádio João Cardoso,0,Tondela,Pacos de Ferreira,Fábio Melo,2,2,2,3,6.41,6.90,14,16,0,0,3,8,9,6,2,2,60.3,39.7,694,549,80,76,506,324,406,247,10,13,7,16,17,23,16,7,41,70,17,21,45,55,14,24,24,14,16,20,32,27,16,7,50,74,12,14,8,11,3,6,33,33,10,9,1,0,17,15,1,1,goal(2);error-to-goal(4);yellow-card(17);goal(34);yellow-card(62);yellow-card(90),goal(5);yellow-card(33);goal(36);goal(58)
2020/2021,Primeira Liga,2021/5/19,18:00,Estádio do Dragão,0,Porto,Belenenses SAD,João Bento,2,0,4,0,7.21,6.00,12,13,0,1,6,3,2,6,4,4,64.7,35.3,716,450,89,82,558,284,494,232,9,12,5,12,13,16,12,5,38,75,12,7,63,37,6,13,13,6,10,11,22,16,12,5,45,69,23,9,5,10,6,6,67,83,3,6,1,2,15,14,1,2,goal(14);yellow-card(23);goal(28);goal(50);yellow-card(63);goal(81),error-to-goal(14);shot-on-post(30);yellow-card(32);error-to-goal(50)
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio D. Afonso Henriques,0,Vitoria de Guimaraes,Benfica,Vitor Jorge Fernandes Ferreira,0,0,1,3,6.40,7.07,10,19,0,0,7,9,2,6,1,4,41.6,58.4,605,770,81,85,405,579,329,494,8,14,7,9,16,17,9,7,44,53,11,21,34,66,18,14,14,18,16,18,25,25,9,7,64,72,17,10,16,7,7,4,57,50,9,8,1,0,19,15,2,0,yellow-card(53);goal(63);yellow-card(75),yellow-card(43);goal(48);goal(58);goal(91)
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio Cidade de Barcelos,0,Gil Vicente,Boavista,Fábio Veríssimo,1,0,1,2,6.31,6.71,18,17,2,0,4,7,11,4,3,6,61.9,38.1,638,460,84,77,491,301,410,232,12,12,4,15,8,22,15,4,50,68,17,12,59,41,11,18,18,11,11,11,26,15,15,4,42,73,10,14,3,8,7,8,57,50,7,4,0,0,7,12,0,0,yellow-card(11);penalty_scored(36);shot-on-post(51);penalty-missed(72);red-card(94);yellow-card(94),goal(56);yellow-card(71);yellow-card(80);red-card(80);penalty_scored(88);yellow-card(89)
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio Municipal de Portimão,0,Portimonense,Braga,Luís Godinho,0,0,0,0,6.70,6.58,9,6,0,0,2,2,2,1,5,3,36.2,63.8,490,746,72,83,312,553,226,457,8,2,8,9,9,14,9,8,89,64,21,22,49,51,33,10,10,33,13,8,22,16,9,8,59,50,14,18,13,10,4,5,50,0,7,8,0,0,24,12,1,0,yellow-card(14);yellow-card(35);yellow-card(41);yellow-card(93),
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio Comendador Joaquim de Almeida Freitas,0,Moreirense,Famalicao,Manuel Oliveira,2,0,3,0,7.04,6.05,12,15,0,0,3,3,5,8,4,4,43.7,56.3,553,628,83,85,349,453,289,383,6,11,14,8,20,20,8,14,70,40,6,11,35,65,12,5,5,12,24,19,32,33,8,14,75,58,15,12,9,12,6,3,50,100,13,12,0,2,13,22,1,3,yellow-card(8);goal(23);yellow-card(43);goal(44);yellow-card(62);goal(84);yellow-card(92),error-to-goal(23);yellow-card(33);error-to-goal(44);yellow-card(51);yellow-card(54);yellow-card(75)
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio de São Miguel,0,Santa Clara,Farense,João Pinheiro,2,0,4,0,7.14,5.92,9,6,0,1,5,1,0,4,4,1,52.5,47.5,560,528,73,68,393,355,288,240,6,2,9,5,16,7,5,9,56,71,26,17,60,40,16,27,27,16,11,14,16,23,5,9,69,61,18,8,7,11,1,4,0,50,7,9,0,1,25,15,1,2,yellow-card(12);goal(33);yellow-card(40);goal(45);goal(59);yellow-card(60);goal(63),shot-on-post(22);yellow-card(28);yellow-card(48);yellow-card(80)
2020/2021,Primeira Liga,2021/5/19,20:00,Estádio da Madeira,0,Nacional,Rio Ave,Artur Manuel Soares Dias,1,0,1,2,6.74,6.99,12,36,0,0,2,14,7,10,3,12,37.1,62.9,513,694,64,77,280,461,178,354,10,24,10,12,22,20,12,10,45,60,17,20,46,54,20,17,17,20,16,16,28,26,12,10,57,62,24,6,19,12,1,16,100,63,4,8,0,0,13,6,0,0,goal(11);yellow-card(16),goal(51);yellow-card(84);goal(94)
2020/2021,Primeira Liga,2021/5/19,21:45,Estádio José Alvalade,0,Sporting,Maritimo,Gustavo Correia,3,0,5,1,7.00,5.86,18,5,2,0,6,1,9,4,3,0,55.8,44.2,657,571,90,85,494,391,444,333,9,4,8,14,14,23,14,8,57,61,2,3,40,60,2,3,3,2,18,14,32,22,14,8,56,64,8,12,10,4,4,3,25,67,8,9,0,2,25,13,1,1,shot-on-post(2);goal(7);shot-on-post(19);goal(20);own-goal(21);yellow-card(29);yellow-card(46);goal(62);goal(75);yellow-card(79),error-to-goal(21);clearance-off-the-line(25);yellow-card(67);error-to-goal(75);goal(89)
2020/2021,Primeira Liga,2021/5/10,18:00,Estádio Municipal de Portimão,0,Portimonense,Moreirense,Fábio Veríssimo,1,1,1,2,6.40,6.79,13,8,0,0,3,3,6,4,4,1,59.4,40.6,701,548,82,73,492,334,401,243,5,8,11,10,20,22,10,11,55,45,17,20,46,54,24,13,13,24,25,17,35,28,10,11,71,61,15,25,10,14,2,6,0,50,8,13,0,0,11,10,1,1,penalty_scored(20);yellow-card(34),yellow-card(13);goal(44);goal(82)
