SEASON,PART,DATE,TIME,VENUE,ATTENDANCE,H_TEAM,A_TEAM,REFEREE,H_HT_GOALS,A_HT_GOALS,H_FT_GOALS,A_FT_GOALS,H_RATINGS,A_RATINGS,H_SHOTSTOTAL,A_SHOTSTOTAL,H_SHOTSONPOST,A_SHOTSONPOST,H_SHOTSONTARGET,A_SHOTSONTARGET,H_SHOTSOFFTARGET,A_SHOTSOFFTARGET,H_SHOTSBLOCKED,A_SHOTSBLOCKED,H_POSSESSION,A_POSSESSION,H_TOUCHES,A_TOUCHES,H_PASSSUCCESS,A_PASSSUCCESS,H_PASSESTOTAL,A_PASSESTOTAL,H_PASSESACCURATE,A_PASSESACCURATE,H_PASSESKEY,A_PASSESKEY,H_DRIBBLESWON,A_DRIBBLESWON,H_DRIBBLESATTEMPTED,A_DRIBBLESATTEMPTED,H_DRIBBLEDPAST,A_DRIBBLEDPAST,H_DRIBBLESUCCESS,A_DRIBBLESUCCESS,H_AERIALSWON,A_AERIALSWON,H_AERIALSUCCESS,A_AERIALSUCCESS,H_OFFENSIVEAERIALS,A_OFFENSIVEAERIALS,H_DEFENSIVEAERIALS,A_DEFENSIVEAERIALS,H_TACKLESUCCESSFUL,A_TACKLESUCCESSFUL,H_TACKLESTOTAL,A_TACKLESTOTAL,H_TACKLEUNSUCCESFUL,A_TACKLEUNSUCCESFUL,H_TACKLESUCCESS,A_TACKLESUCCESS,H_CLEARANCES,A_CLEARANCES,H_INTERCEPTIONS,A_INTERCEPTIONS,H_CORNERSTOTAL,A_CORNERSTOTAL,H_CORNERACCURACY,A_CORNERACCURACY,H_DISPOSSESSED,A_DISPOSSESSED,H_ERRORS,A_ERRORS,H_FOULSCOMMITED,A_FOULSCOMMITED,H_OFFSIDESCAUGHT,A_OFFSIDESCAUGHT,H_EVENTS,A_EVENTS
2009/2010,regular,2010/5/03,13:30,DW Stadium,20242,Wigan,Hull,Phil Dowd,1,1,2,2,6.82,6.94,14,6,0,0,3,3,7,3,4,0,63.6,36.4,768,499,81,64,570,328,462,209,12,5,3,3,14,8,3,3,21,38,18,17,51,49,0,0,0,0,21,33,24,36,3,3,88,92,17,24,27,18,8,1,50,0,22,16,1,0,11,14,1,6,goal(30);yellow-card(63);yellow-card(77);goal(93),goal(42);goal(64)
2009/2010,regular,2010/5/03,17:00,Ewood Park,26138,Blackburn,Arsenal,Martin Atkinson,1,1,2,1,6.96,6.69,11,7,0,0,6,3,3,2,2,2,29.9,70.1,363,659,55,82,204,468,112,386,7,5,1,10,6,16,10,1,17,63,13,8,62,38,0,0,0,0,20,15,30,16,10,1,67,94,39,39,29,17,5,8,20,13,10,14,1,1,20,16,4,2,yellow-card(25);goal(43);yellow-card(59);goal(68),goal(13);yellow-card(65);error-to-goal(68);yellow-card(90)
2009/2010,regular,2010/5/05,20:00,City of Manchester Stadium,47370,Man City,Tottenham,Stephen Bennett,0,0,0,1,6.69,7.2,13,13,0,1,3,4,7,6,3,3,54.1,45.9,601,548,75,69,394,342,295,235,12,9,9,12,16,17,12,9,56,71,13,26,33,67,0,0,0,0,24,17,36,26,12,9,67,65,21,41,19,16,9,8,44,75,10,19,0,0,13,20,6,3,,shot-on-post(18);yellow-card(30);yellow-card(59);yellow-card(66);goal(82)
2009/2010,regular,2010/5/05,20:00,Craven Cottage,20831,Fulham,Stoke,Peter Walton,0,0,0,1,6.63,7.07,13,7,0,0,3,2,7,3,3,2,62.8,37.2,761,525,80,68,584,353,468,241,12,5,3,3,6,13,3,3,50,23,24,26,48,52,0,0,0,0,17,17,20,20,3,3,85,85,30,33,16,28,8,3,75,33,14,7,0,0,7,6,1,5,yellow-card(91),yellow-card(44);yellow-card(54);goal(83);yellow-card(94)
2009/2010,regular,2010/5/09,16:00,Molineux,28971,Wolves,Sunderland,Lee Mason,1,1,2,1,6.95,6.65,18,11,0,1,7,4,7,6,4,1,55.3,44.7,579,508,72,66,397,331,285,218,16,8,4,5,13,14,5,4,31,36,11,22,33,67,0,0,0,0,19,21,24,25,5,4,79,84,24,36,11,19,4,1,75,0,12,10,0,1,13,20,1,4,penalty_scored(10);yellow-card(22);goal(78),goal(8);shot-on-post(14);second-yellow(82);second-yellow(93)
2009/2010,regular,2010/5/09,16:00,Goodison Park,38730,Everton,Portsmouth,Peter Walton,0,0,1,0,7.2,6.8,22,11,0,0,8,4,8,6,6,1,63.3,36.7,719,504,88,77,545,336,481,259,22,10,8,5,12,9,5,8,67,56,10,17,37,63,0,0,0,0,13,18,18,26,5,8,72,69,14,30,17,24,13,1,62,100,14,9,0,0,11,12,0,5,goal(94),clearance-off-the-line(83)
2009/2010,regular,2010/5/09,16:00,Stamford Bridge,41383,Chelsea,Wigan,Martin Atkinson,2,0,8,0,8.15,5.58,19,4,0,0,10,2,7,1,2,1,53.1,46.9,617,549,84,78,470,422,396,329,14,4,5,7,9,14,7,5,56,50,8,10,44,56,0,0,0,0,18,13,25,18,7,5,72,72,13,18,26,11,2,3,0,67,9,11,0,0,14,10,5,3,goal(6);penalty_scored(32);goal(54);yellow-card(55);goal(56);goal(63);penalty_scored(68);yellow-card(74);goal(80);goal(90),red-card(31);yellow-card(41);yellow-card(49);yellow-card(69)
2009/2010,regular,2010/5/09,16:00,Turf Moor,21161,Burnley,Tottenham,Mike Dean,1,2,4,2,7.26,6.68,16,16,0,0,7,6,6,3,3,7,50.2,49.8,593,566,73,76,401,384,292,293,12,12,7,7,18,12,7,7,39,58,15,20,43,57,0,0,0,0,18,21,25,28,7,7,72,75,42,26,15,14,5,6,60,33,10,13,0,0,12,11,1,2,goal(42);goal(54);goal(71);goal(88),goal(3);goal(32)
2009/2010,regular,2010/5/09,16:00,Reebok Stadium,22863,Bolton,Birmingham,Kevin Friend,1,0,2,1,7.31,6.52,15,14,1,0,6,7,7,6,2,1,41.5,58.5,492,608,67,73,302,443,201,322,12,8,4,10,6,21,10,4,67,48,25,9,74,26,0,0,0,0,23,7,33,11,10,4,70,64,46,23,26,19,3,6,67,33,5,12,0,0,19,17,3,3,shot-on-post(17);goal(33);yellow-card(45);goal(60);penalty_saved(76);yellow-card(81),yellow-card(16);yellow-card(38);yellow-card(40);yellow-card(41);yellow-card(41);penalty-missed(76);goal(76)
2009/2010,regular,2010/5/09,16:00,Villa Park,41799,Aston Villa,Blackburn,Stephen Bennett,0,0,0,1,6.62,6.97,18,11,0,0,8,1,6,7,4,3,65.1,34.9,625,436,78,63,445,248,347,157,11,7,5,2,13,7,2,5,38,29,14,14,50,50,0,0,0,0,22,22,24,27,2,5,92,81,28,48,10,23,11,5,36,20,14,17,0,0,14,13,1,3,yellow-card(7);yellow-card(78),yellow-card(58);own-goal(84)
