Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2020/2021,regular,2021/5/18,18:00,Old Trafford,9347,Man Utd,Fulham,Lee Mason,1,0,1,1,6.62,6.78,13,8,0,0,6,5,5,2,2,1,57.1,42.9,721,599,87,81,544,410,471,333,7,5,10,13,25,17,13,10,40,76,11,11,50,50,11,11,11,11,13,25,26,35,13,10,50,71,9,20,5,18,6,1,0,100,10,9,0,0,10,15,4,1,goal(15);yellow-card(19);yellow-card(89),yellow-card(51);goal(76);yellow-card(87);yellow-card(93)
2020/2021,regular,2021/5/18,18:00,St. Mary's Stadium,7291,Southampton,Leeds,Peter Bankes,0,0,0,2,6.43,7.25,18,15,1,0,3,7,11,6,4,2,51.3,48.7,620,589,83,75,392,375,324,280,12,11,9,7,23,17,7,9,39,41,10,16,38,62,20,6,6,20,23,35,30,44,7,9,77,80,13,14,13,15,4,4,25,25,21,13,0,0,10,12,2,1,shot-on-post(47),yellow-card(34);yellow-card(56);yellow-card(65);goal(73);goal(95)
2020/2021,regular,2021/5/18,19:00,Amex Stadium,7945,Brighton,Man City,Stuart Attwell,0,1,3,2,6.79,6.43,19,8,0,0,6,4,4,2,9,2,62.7,37.3,782,532,89,83,607,361,540,301,12,5,12,10,17,15,10,12,71,67,13,12,52,48,13,12,12,13,18,15,28,27,10,12,64,56,10,25,7,7,5,3,100,67,10,13,1,1,13,11,3,1,yellow-card(27);goal(50);goal(72);goal(76);yellow-card(93);yellow-card(95),goal(2);red-card(10);goal(48);error-to-goal(50);yellow-card(74);yellow-card(79);yellow-card(82)
2020/2021,regular,2021/5/18,20:15,Stamford Bridge,7195,Chelsea,Leicester,Mike Dean,0,0,2,1,6.85,6.49,17,7,0,0,6,3,5,3,6,1,58.6,41.4,761,569,85,76,549,381,466,290,12,5,10,6,21,15,6,10,48,40,17,15,53,47,13,19,19,13,19,23,25,33,6,10,76,70,18,15,12,7,6,5,50,0,12,10,0,0,15,16,1,0,goal(47);penalty_scored(67);yellow-card(87);yellow-card(91),yellow-card(32);goal(76);yellow-card(82);yellow-card(89);yellow-card(94);yellow-card(94)
2020/2021,regular,2021/5/19,18:00,St. James' Park,10000,Newcastle,Sheff Utd,Robert Jones,1,0,1,0,7.01,6.43,16,11,0,1,5,1,9,9,2,1,50.9,49.1,678,623,89,84,487,462,434,389,12,10,24,7,35,11,7,24,69,64,16,14,53,47,11,19,19,11,8,17,15,41,7,24,53,41,20,15,6,4,5,2,60,100,6,4,0,0,7,7,2,4,goal(49),yellow-card(24);yellow-card(31);shot-on-post(76)
2020/2021,regular,2021/5/19,18:00,Tottenham Hotspur Stadium,10000,Tottenham,Aston Villa,Craig Pawson,1,2,1,2,6.37,6.85,10,20,0,1,4,4,2,9,4,7,60.8,39.2,759,570,84,80,569,367,477,295,7,16,11,17,22,23,17,11,50,74,12,13,48,52,8,17,17,8,21,18,38,29,17,11,55,62,14,15,8,11,4,5,25,80,7,15,3,1,14,13,2,3,goal(8);error-to-goal(39);yellow-card(43),error-to-goal(8);own-goal(20);goal(39);yellow-card(91);shot-on-post(94)
2020/2021,regular,2021/5/19,18:00,Goodison Park,6068,Everton,Wolves,Andy Madley,0,0,1,0,7.14,6.50,14,9,0,0,4,3,4,2,6,4,41,59,580,750,79,84,377,528,299,446,12,4,13,19,20,31,19,13,65,61,24,10,71,29,19,15,15,19,21,12,40,25,19,13,53,48,33,10,10,11,7,12,57,42,5,9,1,0,11,11,0,0,goal(48),yellow-card(80);yellow-card(95)
2020/2021,regular,2021/5/19,19:00,Selhurst Park,6500,Crystal Palace,Arsenal,Anthony Taylor,0,1,1,3,6.48,6.94,12,6,0,0,6,3,4,1,2,2,31.3,68.7,456,792,70,87,258,603,181,522,12,5,6,7,9,14,7,6,67,50,21,21,50,50,31,11,11,31,20,8,27,14,7,6,74,57,23,18,8,11,6,7,50,29,5,13,0,0,7,7,3,2,yellow-card(5);yellow-card(37);goal(62),goal(35);yellow-card(37);goal(91);goal(95)
2020/2021,regular,2021/5/19,20:15,Turf Moor,3387,Burnley,Liverpool,Chris Kavanagh,0,1,0,3,6.12,7.51,10,20,0,0,4,3,3,9,3,8,41.2,58.8,560,778,78,85,389,584,302,496,9,17,4,8,7,12,8,4,57,67,14,24,37,63,30,8,8,30,14,15,22,19,8,4,64,79,14,41,10,6,6,7,33,57,12,10,0,0,10,7,1,1,,goal(43);goal(52);clearance-off-the-line(69);goal(88)
2020/2021,regular,2021/5/19,20:15,The Hawthorns,5371,West Brom,West Ham,Michael Oliver,1,1,1,3,6.46,7.19,14,21,0,2,4,9,5,9,5,3,52.5,47.5,559,530,75,74,357,326,266,240,7,15,12,5,18,14,5,12,67,36,31,22,58,42,32,21,21,32,10,16,15,28,5,12,67,57,21,34,12,10,5,8,40,38,10,1,0,0,8,11,2,1,yellow-card(1);goal(27);yellow-card(40),penalty-missed(3);yellow-card(34);goal(46);shot-on-post(65);goal(82);yellow-card(87);goal(88)
