Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021/2022,regular,2022/5/17,19:45,St. Mary's Stadium,31588,Southampton,Liverpool,Martin Atkinson,1,1,1,2,6.39,6.92,4,24,0,0,2,5,0,10,2,9,29.1,70.9,497,938,75,89,300,734,226,655,2,19,4,11,14,16,11,4,29,69,15,13,54,46,18,10,10,18,15,18,26,22,11,4,58,82,39,12,8,9,1,9,0,44,8,10,0,0,6,6,0,2,goal(13);yellow-card(69);yellow-card(74),goal(27);goal(67)
2021/2022,regular,2022/5/19,19:45,Goodison Park,38448,Everton,Crystal Palace,Anthony Taylor,0,2,3,2,6.97,6.48,12,7,1,0,6,5,4,2,2,0,43.2,56.8,559,673,70,77,347,467,244,361,9,3,6,5,17,11,5,6,35,45,33,23,59,41,29,27,27,29,25,20,30,26,5,6,83,77,20,36,7,4,4,5,0,20,9,19,0,0,9,12,0,3,shot-on-post(16);goal(54);yellow-card(67);goal(75);yellow-card(82);goal(85),goal(21);yellow-card(32);yellow-card(34);goal(36);yellow-card(69)
2021/2022,regular,2022/5/19,20:00,Villa Park,40468,Aston Villa,Burnley,Paul Tierney,0,1,1,1,6.74,6.48,22,10,0,0,9,5,7,2,6,3,71.3,28.7,784,390,90,68,587,231,529,158,17,6,1,0,5,7,0,1,20,0,14,15,48,52,5,24,24,5,16,11,16,12,0,1,100,92,20,27,3,2,13,6,77,33,7,9,0,0,11,20,1,0,goal(48);clearance-off-the-line(85),penalty_scored(45);yellow-card(55);red-card(91)
2021/2022,regular,2022/5/19,20:00,Stamford Bridge,31478,Chelsea,Leicester,Stuart Attwell,1,1,1,1,6.69,6.65,20,2,0,0,7,1,5,1,8,0,67.2,32.8,940,539,93,79,750,370,695,293,16,1,16,5,21,8,5,16,76,63,11,8,58,42,11,8,8,11,10,18,15,34,5,16,67,53,5,31,11,12,6,0,33,0,13,7,0,0,13,7,1,1,goal(35);yellow-card(47);yellow-card(59);yellow-card(66);yellow-card(85),goal(6);yellow-card(64)
2021/2022,regular,2022/5/22,16:00,Emirates Stadium,60201,Arsenal,Everton,Andre Marriner,2,1,5,1,7.19,6.10,26,6,0,0,9,2,8,3,9,1,73.7,26.3,820,388,90,65,647,234,582,152,18,6,7,8,17,12,8,7,41,67,8,15,35,65,10,13,13,10,12,21,20,28,8,7,60,75,12,30,5,1,12,2,50,0,11,8,0,1,8,9,2,0,penalty_scored(27);goal(31);goal(56);goal(59);goal(82),goal(48);yellow-card(69)
2021/2022,regular,2022/5/22,16:00,Brentford Community Stadium,16957,Brentford,Leeds,Paul Tierney,0,0,1,2,6.52,6.67,14,14,0,0,5,6,7,6,2,2,48.7,51.3,599,598,77,74,412,438,319,326,12,6,7,8,10,14,8,7,70,57,28,16,64,36,21,23,23,21,12,10,20,17,8,7,60,59,24,8,15,14,3,2,67,0,7,6,0,1,11,13,0,2,yellow-card(55);goal(78);yellow-card(78);second-yellow(80),penalty_scored(56);yellow-card(82);goal(94)
2021/2022,regular,2022/5/22,16:00,Amex Stadium,31604,Brighton,West Ham,Kevin Friend,0,1,3,1,6.99,6.26,18,7,0,0,7,2,4,2,7,3,49.9,50.1,660,653,82,81,489,480,403,391,15,4,5,1,6,4,1,5,83,25,20,13,61,39,11,22,22,11,12,14,13,19,1,5,92,74,22,19,6,6,5,6,40,50,13,9,0,0,9,9,0,0,goal(50);goal(80);yellow-card(83);goal(92),goal(40);yellow-card(42)
2021/2022,regular,2022/5/22,16:00,Turf Moor,21361,Burnley,Newcastle,Craig Pawson,0,1,1,2,6.35,6.79,12,8,0,0,5,6,4,2,3,0,51.4,48.6,542,523,69,71,344,338,239,241,8,5,8,3,21,4,3,8,38,75,19,19,50,50,28,10,10,28,11,22,14,30,3,8,79,73,13,27,4,8,8,2,38,50,9,10,2,0,8,9,5,0,yellow-card(65);goal(69),penalty_scored(20);goal(60);clearance-off-the-line(81)
2021/2022,regular,2022/5/22,16:00,Stamford Bridge,32089,Chelsea,Watford,Mike Dean,1,0,2,1,7.09,6.58,19,8,1,0,8,3,6,2,5,3,71.7,28.3,931,461,91,74,734,281,665,209,16,6,6,7,17,21,7,6,35,33,15,9,63,38,9,15,15,9,32,25,39,31,7,6,82,81,12,16,9,14,3,3,0,33,14,18,0,0,9,9,0,2,goal(11);shot-on-post(46);goal(91),goal(87)
2021/2022,regular,2022/4/02,15:00,Molineux Stadium,31012,Wolves,Aston Villa,Darren England,2,0,2,1,6.70,6.44,11,15,0,0,5,5,4,7,2,3,48.3,51.7,607,641,80,84,421,441,337,371,5,10,10,8,18,13,8,10,56,62,16,10,62,38,4,22,22,4,23,17,31,27,8,10,74,63,19,11,6,8,4,9,25,22,9,18,0,0,15,8,1,1,goal(7);yellow-card(25);own-goal(36);yellow-card(66);yellow-card(92);yellow-card(93),clearance-off-the-line(6);yellow-card(38);penalty_scored(86);yellow-card(93);yellow-card(94)
