VENUE,CAPACITY,MANUAL_ENTRY
DW Stadium,25138,False
Ewood Park,31367,False
City of Manchester Stadium,53400,False
Craven Cottage,22384,False
Molineux,32050,False
Goodison Park,40157,True
Stamford Bridge,41837,True
Turf Moor,21944,False
Reebok Stadium,28723,False
Villa Park,42682,False
Emirates Stadium,60704,False
Old Trafford,74310,False
Upton Park,35016,False
The Kingston Communications Stadium,25400,True
St Andrews,29409,False
White Hart Lane,36284,False
Britannia Stadium,30089,False
Fratton Park,20620,False
Anfield,53394,False
Stadium of Light,49000,True
The KC Stadium,25400,True
Etihad Stadium,53400,False
Boleyn Ground,35016,False
St. Andrew's Stadium,29409,False
Molineux Stadium,32050,False
bet365 Stadium,30089,False
St James' Park,52305,False
The Hawthorns,26688,False
Bloomfield Road,16616,False
St. James' Park,52305,False
Carrow Road,27359,False
Liberty Stadium,21088,False
Loftus Road,18439,False
Sports Direct Arena,52305,False
Loftus Road Stadium,18439,False
Madejski Stadium,24161,False
St. Mary's Stadium,32384,True
The Friends Provident St Mary's Stadium,32384,False
Selhurst Park,25486,False
Cardiff City Stadium,33280,False
KCOM Stadium,25400,True
King Power Stadium,32261,False
Kiyan Prince Foundation Stadium,18439,False
Vicarage Road,22200,False
Vitality Stadium,11364,False
Riverside Stadium,34742,False
London Stadium,62500,False
Wembley Stadium,90000,True
John Smith's Stadium,24121,False
Amex Stadium,31800,False
Tottenham Hotspur Stadium,62850,False
Bramall Lane,32750,False
Elland Road,37608,False
Brentford Community Stadium,17250,False
