VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
Amex Stadium,Brighton,50.8615651,-0.0837163,"Brighton and Hove, England, United Kingdom",False
Anfield,Liverpool,53.4308294,-2.96083,"Anfield, Merseyside, England, United Kingdom",False
Bloomfield Road,Blackpool,53.8048026,-3.0490778,"Blackpool, England, United Kingdom",False
Boleyn Ground,West Ham,51.53195669999999,0.0394024,"Greater London, England, United Kingdom",False
Bramall Lane,Sheff Utd,53.370420234734105,-1.4709335427222698,"John St, Highfield, Sheffield S2 4QX, United Kingdom",True
Brentford Community Stadium,Brentford,51.4907918,-0.2886482,"Greater London, England, United Kingdom",False
Britannia Stadium,Stoke,52.9882849,-2.176096,"Stoke-on-Trent, England, United Kingdom",False
Cardiff City Stadium,Cardiff,51.4728372,-3.2030343,"Cardiff, Wales, United Kingdom",False
Carrow Road,Norwich,52.6217102,1.3096681,"Norfolk, England, United Kingdom",False
City of Manchester Stadium,Man City,53.48313810000001,-2.2003953,"Greater Manchester, England, United Kingdom",False
Craven Cottage,Fulham,51.4748946,-0.2217799,"Greater London, England, United Kingdom",False
DW Stadium,Wigan,53.5476804,-2.6541071,"Greater Manchester, England, United Kingdom",False
Elland Road,Leeds,53.7778162,-1.5721446,"Beeston, West Yorkshire, England, United Kingdom",False
Emirates Stadium,Arsenal,51.5548885,-0.108438,"Greater London, England, United Kingdom",False
Etihad Stadium,Man City,53.48313810000001,-2.2003953,"Greater Manchester, England, United Kingdom",False
Ewood Park,Blackburn,53.7286169,-2.4891799,"Blackburn with Darwen, England, United Kingdom",False
Fratton Park,Portsmouth,50.7963372,-1.0637899,"Southsea, Portsmouth, Portsmouth, England, United Kingdom",False
Goodison Park,Everton,53.438787,-2.9663193,"Merseyside, England, United Kingdom",False
John Smith's Stadium,Huddersfield,53.6542822,-1.7682517,"West Yorkshire, England, United Kingdom",False
KCOM Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",False
King Power Stadium,Leicester,52.6203662,-1.1421895,"Leicester, England, United Kingdom",False
Kiyan Prince Foundation Stadium,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",False
Liberty Stadium,Swansea,51.64287635900157,-3.9345425787221573,"Plasmarl, Swansea SA1 2FA, United Kingdom",False
Loftus Road,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",False
Loftus Road Stadium,QPR,51.5092577,-0.232207,"Greater London, England, United Kingdom",False
London Stadium,West Ham,51.5387095,-0.0166037,"Greater London, England, United Kingdom",False
Madejski Stadium,Reading,51.42239319999999,-0.9826326000000001,"Berkshire, England, United Kingdom",False
Molineux,Wolves,52.5902362,-2.1304288,"West Midlands, England, United Kingdom",False
Molineux Stadium,Wolves,52.5902362,-2.1304288,"West Midlands, England, United Kingdom",False
Old Trafford,Man Utd,53.4630589,-2.2913401,"Old Trafford, Stretford, Greater Manchester, England, United Kingdom",False
Reebok Stadium,Bolton,53.5813723,-2.5369749,"Horwich, Greater Manchester, England, United Kingdom",False
Riverside Stadium,Middlesbrough,54.5779685,-1.2181654,"Middlesbrough, England, United Kingdom",False
Selhurst Park,Crystal Palace,51.39797429999999,-0.0860576,"Greater London, England, United Kingdom",False
Sports Direct Arena,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",False
St Andrews,Birmingham,52.47573169366324,-1.8680114371406156,"Cattell Rd, Birmingham B9 4RL, United Kingdom",True
St James' Park,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",False
St. Andrew's Stadium,Birmingham,52.4757188,-1.8681831,"West Midlands, England, United Kingdom",False
St. James' Park,Newcastle,54.975556,-1.621667,"Tyne and Wear, England, United Kingdom",False
St. Mary's Stadium,Southampton,50.9058106,-1.3901028,"Southampton, England, United Kingdom",False
Stadium of Light,Sunderland,54.914561,-1.388371,"Monkwearmouth, Tyne and Wear, England, United Kingdom",False
Stamford Bridge,Chelsea,51.4816696389695,-0.19085994035521447,"Fulham Rd., London SW6 1HS, United Kingdom",True
The Friends Provident St Mary's Stadium,Southampton,50.9058106,-1.3901028,"Southampton, England, United Kingdom",False
The Hawthorns,West Brom,52.50990909999999,-1.9639585,"West Midlands, England, United Kingdom",False
The KC Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",False
The Kingston Communications Stadium,Hull,53.7459183,-0.3680605,"Kingston upon Hull, Kingston upon Hull, England, United Kingdom",False
Tottenham Hotspur Stadium,Tottenham,51.60423220000001,-0.0662152,"Greater London, England, United Kingdom",False
Turf Moor,Burnley,53.7886839,-2.2303478,"Lancashire, England, United Kingdom",False
Upton Park,West Ham,51.53195669999999,0.0394024,"Greater London, England, United Kingdom",False
Vicarage Road,Watford,51.6498879,-0.4015015,"Hertfordshire, England, United Kingdom",False
Villa Park,Aston Villa,52.509157369862194,-1.8848149846817563,"Trinity Rd, Birmingham B6 6HE, United Kingdom",True
Vitality Stadium,Bournemouth,50.7348316,-1.8390783,"Boscombe, Dorset, England, United Kingdom",False
Wembley Stadium,Tottenham,51.55602469999999,-0.2796177,"Greater London, England, United Kingdom",False
White Hart Lane,Tottenham,51.6032123,-0.0657389,"Greater London, England, United Kingdom",False
bet365 Stadium,Stoke,52.9882849,-2.176096,"Stoke-on-Trent, England, United Kingdom",False
