,VENUE,H_TEAM,LAT,LNG,LOCATION,CAPACITY
0,Amex Stadium,Brighton,50.8615651,-0.0837163,"Brighton and Hove, England, United Kingdom",31800
1,Anfield,Liverpool,53.4308294,-2.96083,"Anfield, Merseyside, England, United Kingdom",53394
2,Bloomfield Road,Blackpool,53.8048026,-3.0490778,"Blackpool, England, United Kingdom",16616
3,Boleyn Ground,West Ham,51.53195669999999,0.0394024,"Greater London, England, United Kingdom",35016
4,Bramall Lane,Sheff Utd,53.370420234734105,-1.4709335427222698,"John St, Highfield, Sheffield S2 4QX, United Kingdom",32750
5,Brentford Community Stadium,Brentford,51.4907918,-0.2886482,"Greater London, England, United Kingdom",17250
6,Britannia Stadium,Stoke,52.9882849,-2.176096,"Stoke-on-Trent, England, United Kingdom",30089
7,Cardiff City Stadium,Cardiff,51.4728372,-3.2030343,"Cardiff, Wales, United Kingdom",33280
8,Carrow Road,Norwich,52.6217102,1.3096681,"Norfolk, England, United Kingdom",27359
9,City of Manchester Stadium,Man City,53.48313810000001,-2.2003953,"Greater Manchester, England, United Kingdom",53400
10,Craven Cottage,Fulham,51.4748946,-0.2217799,"Greater London, England, United Kingdom",22384
11,DW Stadium,Wigan,53.5476804,-2.6541071,"Greater Manchester, England, United Kingdom",25138
12,Elland Road,Leeds,53.7778162,-1.5721446,"Beeston, West Yorkshire, England, United Kingdom",37608
13,Emirates Stadium,Arsenal,51.5548885,-0.108438,"Greater London, England, United Kingdom",60704
14,Etihad Stadium,Man City,53.48313810000001,-2.2003953,"Greater Manchester, England, United Kingdom",53400
15,Ewood Park,Blackburn,53.7286169,-2.4891799,"Blackburn with Darwen, England, United Kingdom",31367
16,Fratton Park,Portsmouth,50.7963372,-1.0637899,"Southsea, Portsmouth, Portsmouth, England, United Kingdom",20620
17,Goodison Park,Everton,53.438787,-2.9663193,"Merseyside, England, United Kingdom",40157
18,John Smith's Stadium,Huddersfield,53.6542822,-1.7682517,"West Yorkshire, England, United Kingdom",24121
