Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2021/2022,regular,2022/2/28,16:00,Saint Petersburg Stadium,16668,Zenit,Rubin Kazan,Eugene Kukulyak,0,0,3,2,6.93,6.57,28,8,1,0,10,3,12,4,6,1,60.9,39.1,722,548,84,74,513,350,432,258,24,4,10,21,22,26,21,10,45,81,16,9,64,36,9,16,16,9,13,15,34,25,21,10,38,60,9,28,10,10,9,1,78,0,3,8,0,1,13,11,2,2,shot-on-post(16);yellow-card(31);goal(48);penalty_scored(55);goal(92),yellow-card(54);goal(61);goal(67);second-yellow(78)
2021/2022,regular,2022/3/05,16:00,VEB Arena,5609,CSKA Moscow,Nizhny Novgorod,Pavel Kukuyan,0,0,1,0,6.77,6.43,22,2,1,0,6,1,10,1,6,0,68.9,31.1,759,446,81,61,572,272,465,166,12,1,10,2,21,10,2,10,48,20,19,14,58,42,19,14,14,19,16,21,18,31,2,10,89,68,0,38,1,15,8,0,25,0,10,8,0,0,6,11,0,0,shot-on-post(29);yellow-card(44);yellow-card(60);goal(96),yellow-card(31);red-card(42)
2021/2022,regular,2022/3/06,11:00,RZD Arena,3118,Lokomotiv Moscow,Khimki,Artem Lyubimov,2,1,3,2,6.92,6.51,19,9,0,0,9,4,5,5,5,0,52.9,47.1,569,508,75,60,362,323,271,193,14,7,4,3,13,5,3,4,31,60,10,6,63,38,6,10,10,6,6,23,9,27,3,4,67,85,30,10,28,21,6,6,67,50,14,4,0,0,13,15,3,5,goal(8);yellow-card(18);goal(21);yellow-card(48);goal(80);penalty-missed(93),goal(6);yellow-card(29);yellow-card(35);second-yellow(42);yellow-card(42);goal(72);yellow-card(81);yellow-card(84);penalty_saved(93)
2021/2022,regular,2022/3/06,11:00,Samara Arena,3756,Krylya Sovetov Samara,Arsenal Tula,Pavel Shadyhanov,0,1,2,2,6.73,6.55,22,7,1,0,7,4,5,2,10,1,59.6,40.4,692,526,83,77,484,337,404,261,14,2,17,4,23,14,4,17,74,29,8,12,40,60,14,7,6,13,20,21,24,38,4,17,83,55,11,29,8,21,14,3,64,0,15,10,2,0,9,12,1,1,shot-on-post(2);error-to-goal(13);yellow-card(44);goal(52);yellow-card(78);goal(83),goal(13);yellow-card(54);yellow-card(65);penalty_scored(70);yellow-card(77);second-yellow(86);yellow-card(88);yellow-card(92)
2021/2022,regular,2022/3/06,16:00,VTB Arena,19353,Dinamo Moscow,Spartak Moscow,Sergey Karasev,0,2,0,2,5.98,7.03,11,10,1,0,1,2,7,6,3,2,42.4,57.6,575,753,76,81,429,599,325,483,8,7,0,11,3,19,11,0,0,58,10,15,40,60,15,10,10,15,12,16,23,16,11,0,52,100,6,14,13,17,4,1,25,100,13,4,0,0,14,11,0,2,yellow-card(3);second-yellow(48);yellow-card(49);yellow-card(66);shot-on-post(69),yellow-card(1);goal(26);goal(37);yellow-card(40);yellow-card(72);yellow-card(86)
2021/2022,regular,2022/2/26,11:00,Nizhny Novgorod Stadium,3115,Nizhny Novgorod,Ural,Vasily Kazartsev,0,0,1,0,6.99,6.32,20,10,1,0,8,3,6,4,6,3,59.6,40.4,653,486,81,70,464,319,375,223,14,7,5,4,11,7,4,5,45,57,18,19,49,51,19,18,18,19,20,21,24,26,4,5,83,81,8,19,13,11,6,3,33,67,16,17,0,0,12,22,1,1,shot-on-post(60);yellow-card(66);penalty_scored(78),yellow-card(46);second-yellow(55);red-card(77);yellow-card(79);yellow-card(90);yellow-card(93);yellow-card(94)
2021/2022,regular,2022/2/26,11:00,Arena Khimki,2198,Khimki,Dinamo Moscow,Kirill Levnikov,0,1,0,3,6.20,6.96,6,25,0,0,1,11,2,9,3,5,41.1,58.9,517,655,68,79,345,497,236,393,5,18,7,5,11,8,5,7,64,63,10,8,56,44,9,9,9,9,13,9,18,16,5,7,72,56,21,6,16,12,1,7,0,43,5,10,0,0,4,6,4,3,red-card(45);yellow-card(54);red-card(68),goal(35);second-yellow(52);goal(85);goal(89)
2021/2022,regular,2022/2/26,13:30,Fisht Olympic Stadium,3234,PFC Sochi,Arsenal Tula,Vladislav Bezborodov,0,0,2,0,6.85,6.05,13,7,0,0,4,1,6,1,3,5,54,46,671,567,82,77,496,411,406,316,9,6,2,1,4,11,1,2,50,9,13,5,72,28,10,8,8,10,14,11,15,13,1,2,93,85,17,21,10,8,5,7,60,14,9,4,0,0,8,14,2,1,yellow-card(10);goal(50);clearance-off-the-line(58);yellow-card(59);yellow-card(62);penalty_scored(77),yellow-card(10);yellow-card(27);yellow-card(46)
2021/2022,regular,2022/2/26,16:00,Otkrytie Arena,0,Spartak Moscow,CSKA Moscow,Vitaliy Meshkov,0,0,0,2,6.24,6.78,17,8,1,0,3,4,7,3,7,1,56.6,43.4,677,555,83,77,514,401,428,307,14,5,3,7,6,10,7,3,50,70,3,6,33,67,5,4,4,5,17,9,24,12,7,3,71,75,11,11,11,12,4,5,50,40,6,14,0,0,12,16,3,0,shot-on-post(39);yellow-card(40);yellow-card(96),yellow-card(24);yellow-card(30);goal(49);goal(79);yellow-card(83);yellow-card(88)
2021/2022,regular,2022/2/27,16:00,Akhmat-Arena,6612,FK Akhmat,FC Ufa,Aleksei Suhoy,0,1,2,1,6.52,6.33,15,7,0,0,5,3,5,4,5,0,57.7,42.3,568,446,74,58,402,295,299,171,10,7,5,1,14,2,1,5,36,50,14,27,34,66,12,28,29,13,11,16,12,21,1,5,92,76,17,16,3,8,2,5,100,80,7,10,0,0,13,19,1,1,yellow-card(9);penalty_scored(51);yellow-card(67);goal(84),yellow-card(27);yellow-card(29);goal(46);yellow-card(49);yellow-card(54);yellow-card(67);yellow-card(68)
