Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2013/2014,regular,2014/5/17,19:45,Friuli,14862,Udinese,Sampdoria,Francesco Saia,2,1,3,3,6.86,6.86,22,15,1,0,12,4,6,7,4,4,55.7,44.3,621,529,84,78,460,375,388,293,16,14,13,13,21,18,13,13,62,72,10,10,50,50,11,9,9,11,14,11,27,24,13,13,52,46,20,31,14,9,6,5,33,40,3,9,1,2,15,12,4,0,goal(26);goal(32);shot-on-post(40);yellow-card(62);yellow-card(75);yellow-card(77);goal(88),goal(10);error-to-goal(32);yellow-card(42);yellow-card(48);goal(53);goal(55);error-to-goal(88)
2013/2014,regular,2014/5/18,14:00,Luigi Ferraris,19223,Genoa,Roma,Massimiliano Irrati,0,0,1,0,6.96,6.67,7,11,0,0,3,4,4,6,0,1,36.2,63.8,491,767,76,89,324,589,247,524,5,9,9,9,17,21,9,9,53,43,5,5,50,50,6,3,4,7,24,26,33,35,9,9,73,74,27,35,17,15,4,5,50,60,18,12,0,0,15,9,1,7,goal(83),yellow-card(56)
2013/2014,regular,2014/5/18,14:00,Juventus Stadium,0,Juventus,Cagliari,Mauro Bergonzi,3,0,3,0,7.15,6.14,13,7,0,0,8,2,2,2,3,3,48.5,51.5,704,741,92,91,573,622,527,569,9,5,6,7,10,10,7,6,60,70,4,2,67,33,3,3,3,3,11,14,18,20,7,6,61,70,13,16,10,9,9,2,89,0,10,8,0,3,13,11,6,0,own-goal(8);goal(15);goal(40),error-to-goal(15)
2013/2014,regular,2014/5/18,14:00,Angelo Massimino,0,Catania,Atalanta,Gianluca Aureliano,0,0,2,1,7.31,6.76,24,20,1,0,9,9,8,6,7,5,44.5,55.5,634,751,87,89,455,575,396,511,20,16,17,11,20,20,11,17,85,55,13,7,65,35,11,8,9,12,21,14,32,31,11,17,66,45,15,26,16,11,5,4,60,75,11,12,0,0,9,8,6,3,yellow-card(64);goal(65);shot-on-post(69);penalty_scored(91),yellow-card(29);yellow-card(52);goal(80)
2013/2014,regular,2014/5/18,19:45,Olimpico,0,Lazio,Bologna,Fabio Maresca,0,0,1,0,7.01,6.64,18,8,0,0,6,1,5,6,7,1,53,47,661,604,82,76,486,446,399,338,16,5,11,9,17,13,9,11,65,69,20,21,49,51,19,22,22,19,14,14,23,25,9,11,61,56,38,40,10,13,8,2,50,0,8,10,1,0,11,10,3,1,yellow-card(61);yellow-card(72);penalty_scored(94),yellow-card(42)
2013/2014,regular,2014/5/18,19:45,San Paolo,10000,Napoli,Verona,Luca Pairetto,3,0,5,1,7.44,6.05,20,11,0,0,11,5,9,3,0,3,62.6,37.4,893,560,92,84,745,441,685,372,16,7,7,12,12,22,12,7,58,55,6,6,50,50,3,9,9,3,15,8,27,15,12,7,56,53,18,11,15,7,2,2,100,50,3,5,0,1,9,5,0,2,goal(5);goal(13);yellow-card(21);goal(25);yellow-card(59);goal(62);goal(77),yellow-card(55);error-to-goal(62);goal(66)
2013/2014,regular,2014/5/18,19:45,Marc'Antonio Bentegodi,0,Chievo,Inter,Gianluca Manganiello,0,1,2,1,6.86,6.47,13,15,2,0,4,3,7,5,2,7,42.3,57.7,516,670,88,90,375,520,329,467,12,8,12,11,18,19,11,12,67,58,7,10,41,59,9,8,8,9,16,11,27,23,11,12,59,48,16,19,13,8,7,3,29,67,5,8,1,1,16,14,1,2,shot-on-post(10);shot-on-post(30);error-to-goal(41);yellow-card(61);goal(73);yellow-card(74);goal(90),yellow-card(38);goal(41);error-to-goal(73)
2013/2014,regular,2014/5/18,19:45,Ennio Tardini,16763,Parma Calcio 1913,Livorno,Andrea De Marco,0,0,2,0,6.99,6.29,19,6,0,0,4,1,6,5,9,0,62.7,37.3,713,507,85,78,571,352,485,274,13,6,2,8,7,17,8,2,29,47,10,4,71,29,10,4,4,10,19,14,27,16,8,2,70,88,10,33,10,10,7,1,57,100,9,10,0,0,15,7,2,1,goal(62);goal(80),yellow-card(28);yellow-card(63);yellow-card(63)
2013/2014,regular,2014/5/18,19:45,Giuseppe Meazza,0,AC Milan,Sassuolo,Paolo Valeri,2,0,2,1,6.95,6.57,16,16,0,0,9,5,7,9,0,2,57.1,42.9,581,495,83,81,428,317,354,257,11,11,15,5,19,13,5,15,79,38,14,8,64,36,13,9,9,13,20,17,25,32,5,15,80,53,13,31,9,19,7,6,43,67,13,12,0,0,17,13,3,3,goal(2);goal(27);second-yellow(68);red-card(89),yellow-card(43);red-card(86);penalty_scored(90)
2013/2014,regular,2014/5/18,19:45,Artemio Franchi,0,Fiorentina,Torino,Nicola Rizzoli,0,0,2,2,6.81,6.85,15,15,0,0,8,5,3,5,4,5,54.5,45.5,671,583,87,85,535,429,467,365,14,10,10,14,20,18,14,10,50,78,8,12,40,60,10,10,10,10,12,17,26,27,14,10,46,63,21,9,14,13,7,6,43,33,7,8,1,0,15,11,0,6,yellow-card(27);penalty_scored(57);error-to-goal(66);yellow-card(77);goal(79);yellow-card(83);yellow-card(86);yellow-card(93);penalty_saved(94),yellow-card(56);goal(67);yellow-card(76);goal(84);penalty-missed(94)
