VENUE,CAPACITY,MANUAL_ENTRY
Giuseppe Meazza,75923,False
Olimpico,70634,False
Ennio Tardini,27906,False
Comunale Luigi Ferraris,36599,False
Atleti Azzurri D'Italia,21747,False
Marc'Antonio Bentegodi,39211,False
Sant'Elia,40919,False
San Nicola,0,False
Angelo Massimino,23266,False
Artemio Franchi Montepaschi Arena,15373,False
San Paolo,54726,False
Friuli,25144,False
Renato Dall'Ara,31070,False
Armando Picchi,14267,False
Olimpico Grande Torino,27958,False
Renzo Barbera,36365,False
Artemio Franchi,43147,False
Luigi Ferraris,36599,False
Olimpico di Torino,14350,False
Atleti Azzurri d'Italia di Gallarate,2000,False
Mario Rigamonti,19500,False
Via Del Mare,40670,False
Dino Manuzzi,23860,False
Juventus Stadium,41507,False
Atleti Azzurri d'Italia,21747,False
Silvio Piola,5500,False
Nereo Rocco,0,True
Adriatico,20476,False
Is Arenas,16416,False
Città del Tricolore,21525,False
MAPEI Stadium - Città del Tricolore,21525,False
Marcantonio Bentegodi,39211,False
Dacia Arena,25144,False
Carlo Castellani,16284,False
Alberto Braglia,21092,False
Matusa,10000,False
Ezio Scida,16547,False
Allianz Stadium,75024,False
Paolo Mazza,16134,False
Sardegna Arena,16416,False
Ciro Vigorito,25000,False
Benito Stirpe,16227,False
Gewiss Stadium,21747,False
Diego Armando Maradona,54726,False
Alberto Picco,11466,False
Pier Luigi Penzo,11150,False
Arechi,37800,False
Unipol Domus,16416,False
