VENUE,H_TEAM,LAT,LNG,LOCATION,MANUAL_ENTRY
Adriatico,Crotone,42.45529056177625,14.22957054634644,"Viale V. Pepe, 65126 Pescara PE, Italy",True
Adriatico,Pescara,42.45529056177625,14.22957054634644,"Viale V. Pepe, 65126 Pescara PE, Italy",True
Alberto Braglia,Carpi,44.6534673,10.9231859,"Modena, Modena, Provincia di Modena, Emilia-Romagna, Italy",False
Alberto Picco,Spezia,44.1021847,9.8087264,"La Spezia, La Spezia, Provincia della Spezia, Liguria, Italy",False
Allianz Stadium,Juventus,45.10970327621822,7.641296746910371,"Corso Gaetano Scirea, 50, 10151 Torino TO, Italy",True
Angelo Massimino,Catania,37.51575589999999,15.0715457,"Catania, Catania, Città metropolitana di Catania, Sicilia, Italy",False
Arechi,Salernitana,40.64376780000001,14.826492,"Arechi, Salerno, Salerno, Provincia di Salerno, Campania, Italy",False
Armando Picchi,Livorno,43.5265961,10.3135376,"Livorno, Livorno, Provincia di Livorno, Toscana, Italy",False
Artemio Franchi,Fiorentina,43.7808349,11.2825717,"Firenze, Firenze, Città Metropolitana di Firenze, Toscana, Italy",False
Artemio Franchi Montepaschi Arena,Robur Siena,43.3218222,11.3262492,"Siena, Siena, Provincia di Siena, Toscana, Italy",False
Atleti Azzurri D'Italia,Atalanta,45.7092003,9.680845399999999,"Bergamo, Bergamo, Provincia di Bergamo, Lombardia, Italy",False
Atleti Azzurri d'Italia,Atalanta,45.7092003,9.680845399999999,"Bergamo, Bergamo, Provincia di Bergamo, Lombardia, Italy",False
Benito Stirpe,Frosinone,41.63407160000001,13.3218958,"Frosinone, Frosinone, Provincia di Frosinone, Lazio, Italy",False
Carlo Castellani,Empoli,43.7264653,10.9547756,"Empoli, Empoli, Città Metropolitana di Firenze, Toscana, Italy",False
Ciro Vigorito,Benevento,41.11653219999999,14.7810702,"Benevento, Benevento, Provincia di Benevento, Campania, Italy",False
Città del Tricolore,Sassuolo,44.714604839210004,10.649683977205829,"Piazzale Atleti Azzuri D'Italia, 1, 42122 Reggio Emilia RE, Italy",True
Comunale Luigi Ferraris,Genoa,44.4165004,8.952518999999999,"Genova, Genova, Città Metropolitana di Genova, Liguria, Italy",False
Comunale Luigi Ferraris,Sampdoria,44.4165004,8.952518999999999,"Genova, Genova, Città Metropolitana di Genova, Liguria, Italy",False
Dacia Arena,Udinese,46.0814817,13.1997695,"Udine, Ente di decentramento regionale di Udine, Friuli-Venezia Giulia, Italy",False
Diego Armando Maradona,Napoli,40.827863258904884,14.193136196423504,"Via Giambattista Marino, 80125 Napoli NA, Italy",True
Dino Manuzzi,Cesena,44.14037800000001,12.261882,"Cesena, Cesena, Provincia di Forlì-Cesena, Emilia-Romagna, Italy",False
Dino Manuzzi,Spezia,44.14037800000001,12.261882,"Cesena, Cesena, Provincia di Forlì-Cesena, Emilia-Romagna, Italy",False
Ennio Tardini,Atalanta,44.7949194,10.3384546,"Parma, Parma, Provincia di Parma, Emilia-Romagna, Italy",False
