Season,Part,Date,Time,Venue,Attendance,H_Team,A_Team,Referee,H_HT_Goals,A_HT_Goals,H_FT_Goals,A_FT_Goals,H_Ratings,A_Ratings,H_ShotsTotal,A_ShotsTotal,H_ShotsOnPost,A_ShotsOnPost,H_ShotsOnTarget,A_ShotsOnTarget,H_ShotsOffTarget,A_ShotsOffTarget,H_ShotsBlocked,A_ShotsBlocked,H_Possession,A_Possession,H_Touches,A_Touches,H_PassSuccess,A_PassSuccess,H_PassesTotal,A_PassesTotal,H_PassesAccurate,A_PassesAccurate,H_PassesKey,A_PassesKey,H_DribblesWon,A_DribblesWon,H_DribblesAttempted,A_DribblesAttempted,H_DribbledPast,A_DribbledPast,H_DribbleSuccess,A_DribbleSuccess,H_AerialsWon,A_AerialsWon,H_AerialSuccess,A_AerialSuccess,H_OffensiveAerials,A_OffensiveAerials,H_DefensiveAerials,A_DefensiveAerials,H_TackleSuccessful,A_TackleSuccessful,H_TacklesTotal,A_TacklesTotal,H_TackleUnsuccesful,A_TackleUnsuccesful,H_TackleSuccess,A_TackleSuccess,H_Clearances,A_Clearances,H_Interceptions,A_Interceptions,H_CornersTotal,A_CornersTotal,H_CornerAccuracy,A_CornerAccuracy,H_Dispossessed,A_Dispossessed,H_Errors,A_Errors,H_FoulsCommited,A_FoulsCommited,H_OffsidesCaught,A_OffsidesCaught,H_Events,A_Events
2018/2019,regular,2019/5/20,18:00,Kazim Karabekir Stadium,0,Erzurum BB,Fenerbahce,Suat Arslanboga,0,0,0,1,6.36,6.85,14,10,1,0,3,3,7,6,4,1,39.5,60.5,502,676,77,82,313,519,241,426,10,9,13,7,22,14,7,13,59,50,12,19,39,61,19,12,12,19,10,15,17,28,7,13,59,54,8,27,6,3,8,2,38,50,6,3,0,0,8,13,2,2,yellow-card(11);yellow-card(43);yellow-card(58);shot-on-post(73);yellow-card(88),yellow-card(18);yellow-card(43);penalty_scored(59);yellow-card(69);yellow-card(71);yellow-card(87)
2018/2019,regular,2019/5/20,18:00,Eryaman Stadyumu,0,Ankaragucu,Sivasspor,Hüseyin Göçek,2,0,3,1,6.90,6.50,14,10,1,0,6,4,4,5,4,1,50.9,49.1,651,644,84,83,467,451,392,373,10,8,7,13,22,19,13,7,32,68,15,19,44,56,17,17,17,17,17,22,30,29,13,7,57,76,21,16,6,8,8,3,25,100,7,11,0,0,15,7,3,1,goal(24);yellow-card(27);goal(34);yellow-card(49);goal(50);yellow-card(60);yellow-card(64);shot-on-post(67),goal(61);yellow-card(62)
2018/2019,regular,2019/5/24,16:00,Basaksehir Fatih Terim Stadium,0,Istanbul Basaksehir,Alanyaspor,Bahattin Simsek,1,1,1,1,6.59,6.80,11,17,0,0,4,7,5,10,2,0,57.1,42.9,700,579,85,82,550,401,467,330,9,16,8,11,16,18,11,8,50,61,3,8,27,73,4,7,7,4,14,15,25,23,11,8,56,65,9,19,9,13,5,6,60,67,7,7,0,0,12,9,2,3,goal(6),goal(16)
2018/2019,regular,2019/5/24,19:00,Vodafone Park,0,Besiktas,Kasimpasa,Mete Kalkavan,3,1,3,2,6.86,6.49,13,16,1,0,4,6,7,8,2,2,59.7,40.3,844,635,90,84,653,438,587,370,10,11,9,13,19,23,13,9,47,57,9,6,60,40,8,7,7,8,23,19,36,28,13,9,64,68,15,19,15,10,3,5,100,40,9,13,1,2,12,10,2,2,goal(10);goal(44);goal(46);yellow-card(80);shot-on-post(84);second-yellow(94),goal(13);error-to-goal(44);goal(67)
2018/2019,regular,2019/5/24,19:00,Yeni Sivas 4 Eylül Stadyumu,0,Sivasspor,Galatasaray,Zorbay Kucuk,2,2,4,3,6.93,6.56,30,7,0,0,14,4,8,2,8,1,46.1,53.9,614,688,87,86,439,529,381,454,20,5,13,8,17,13,8,13,76,62,8,5,62,38,9,4,4,9,13,11,21,24,8,13,62,46,3,13,12,10,9,1,67,100,7,8,1,2,10,10,2,1,yellow-card(41);goal(43);goal(46);goal(77);goal(79);yellow-card(89),goal(2);goal(34);yellow-card(55);error-to-goal(79);goal(82)
2018/2019,regular,2019/5/24,19:00,Rize Atatürk Stadi,0,Rizespor,Trabzonspor,Yasar Kemal Ugurlu,1,3,2,3,6.84,6.89,20,21,0,0,5,8,9,7,6,6,54.8,45.2,678,601,83,81,482,404,402,326,18,19,9,3,17,15,3,9,53,20,16,15,52,48,20,11,11,20,33,21,36,30,3,9,92,70,9,12,14,13,7,6,43,67,13,21,0,0,12,6,2,1,goal(16);goal(65);clearance-off-the-line(69);yellow-card(94),goal(20);own-goal(23);goal(43);yellow-card(89)
2018/2019,regular,2019/5/25,17:00,Konya Buyuksehir Stadi,0,Konyaspor,Akhisarspor,Ali Sansalan,0,0,0,0,6.73,6.73,18,14,0,0,7,5,6,9,5,0,61.1,38.9,714,521,86,80,576,361,494,288,13,11,2,3,3,5,3,2,67,60,13,10,57,43,18,5,5,18,8,10,11,12,3,2,73,83,14,12,8,12,6,5,50,0,9,6,0,0,9,10,2,1,yellow-card(50);yellow-card(61),
2018/2019,regular,2019/5/26,17:00,Bornova Doganlar Stadi,0,Goztepe,Ankaragucu,Cüneyt Çakir,1,0,2,1,6.91,6.53,11,7,0,0,5,4,5,2,1,1,32.9,67.1,400,598,62,82,202,411,126,339,6,7,12,12,17,26,12,12,71,46,21,20,51,49,24,17,17,24,25,15,37,27,12,12,68,56,11,18,20,10,4,6,50,67,10,11,0,0,8,23,2,2,goal(14);penalty_scored(84);red-card(91),goal(74);yellow-card(79);yellow-card(83)
2018/2019,regular,2019/5/26,17:00,Yeni Malatya Stadyumu,0,Yeni Malatyaspor,Bursaspor,Ali Palabiyik,0,2,1,2,6.50,6.58,10,10,0,0,4,6,3,2,3,2,44.5,55.5,577,645,81,87,370,474,300,413,7,8,28,6,36,12,6,28,78,50,16,13,55,45,14,15,15,14,16,15,22,43,6,28,73,35,9,21,8,13,5,2,60,50,7,10,0,1,8,22,2,2,red-card(35);goal(61);yellow-card(76);yellow-card(78);yellow-card(82);yellow-card(91);second-yellow(92);yellow-card(95),goal(4);goal(20);yellow-card(35);error-to-goal(61);yellow-card(75);yellow-card(85);red-card(86)
2018/2019,regular,2019/5/26,17:00,Ulker Stadyumu,0,Fenerbahce,Antalyaspor,Halis Özkahya,1,1,3,1,6.86,6.38,18,16,0,1,6,3,7,8,5,5,53.2,46.8,646,605,89,87,468,413,417,360,13,10,8,10,17,16,10,8,47,63,10,5,67,33,11,4,4,11,18,15,28,23,10,8,64,65,13,20,11,7,4,4,25,25,6,12,5,0,16,12,5,2,goal(13);error-to-goal(33);yellow-card(50);goal(69);goal(91),yellow-card(29);goal(33);shot-on-post(46);yellow-card(52);yellow-card(59)
2018/2019,regular,2019/5/26,17:00,Kadir Has Stadium,0,Kayserispor,Erzurum BB,Firat Aydinus,0,2,0,2,6.42,7.35,20,16,1,0,7,6,7,8,6,2,48.8,51.2,658,679,89,89,469,492,418,439,14,13,13,14,25,16,14,13,52,88,10,8,56,44,12,6,6,12,16,15,30,28,14,13,53,54,14,16,9,15,10,4,60,50,3,14,0,0,9,9,1,4,shot-on-post(18);red-card(63),goal(12);goal(43)
2018/2019,regular,2019/5/13,18:00,Vodafone Park,0,Besiktas,Alanyaspor,Cüneyt Çakir,1,1,2,1,6.77,6.48,12,9,0,0,4,3,6,6,2,0,57.6,42.4,675,548,81,72,490,349,396,253,8,6,6,14,12,22,14,6,50,64,17,14,55,45,12,19,19,12,16,13,30,19,14,6,53,68,20,11,16,17,2,5,50,60,7,8,0,0,17,20,2,5,goal(11);yellow-card(50);goal(54);yellow-card(90),own-goal(44);yellow-card(91)
2018/2019,regular,2019/5/17,18:30,Recep Tayyip Erdogan Stadi,0,Kasimpasa,Konyaspor,Koray Gençerler,0,1,1,1,6.85,6.69,18,12,1,0,3,4,7,5,8,3,48.1,51.9,692,752,86,86,494,557,424,479,15,9,11,9,19,14,9,11,58,64,22,14,61,39,18,18,18,18,14,14,23,25,9,11,61,56,13,32,14,11,6,7,50,43,6,10,0,0,13,9,0,4,goal(56);shot-on-post(73);yellow-card(77),yellow-card(20);goal(25)
2018/2019,regular,2019/5/18,17:00,Antalya Stadium,0,Antalyaspor,Yeni Malatyaspor,Arda Kardesler,1,0,3,0,7.27,5.95,17,12,0,0,5,2,10,6,2,4,53.8,46.2,576,515,91,86,411,359,372,307,15,8,11,9,14,13,9,11,79,69,8,8,50,50,10,6,6,10,15,8,24,19,9,11,63,42,8,15,8,3,5,4,20,25,5,11,0,0,17,13,1,3,goal(46);goal(55);yellow-card(64);goal(65);yellow-card(74),second-yellow(30);yellow-card(70);yellow-card(74)
